dataSet,num_nodes,num_edges,sputnik,rode,tcgnn
TSOPF_RS_b300_c2,28339,2943887,0.000253,0.18544,1.5355
language,399131,1216334,0.000208,0.231667,49.7222
blockqp1,60013,340022,0.000218,0.051891,714.0076
H2O,67025,1141880,0.00023,0.157136,1.1698
Ga19As19H42,133124,4508981,0.000227,0.577277,4.2921
helm3d01,32227,230335,0.000243,0.035117,0.3467
c-73b,169423,724348,0.000243,0.148006,0.5742
juba40k,40338,144945,0.000266,0.022426,0.3848
vsp_c-60_data_cti_cs4,85831,241080,0.000278,0.052534,5.7096
pkustk04,55591,2137125,0.000208,0.253997,25.1308
laminar_duct3D,67174,3833077,0.000208,0.235248,1.4578
Andrews,60001,410077,0.000173,0.071162,0.7601
bcsstm36,23053,166389,0.000237,0.024019,0.2579
pdb1HYS,36418,2190591,0.00033,0.256582,1.1796
pkustk14,151927,7494215,0.000211,0.894688,1000000000.0
Si87H76,240370,5451000,0.000211,0.739126,1000000000.0
engine,143572,2424822,0.000202,0.32504,2.5289
ecology2,1000000,2997995,0.000208,0.421597,2.4436
mip1,66464,5209641,0.000227,0.593795,1000000000.0
nd24k,72001,14393817,0.000224,1.887536,1000000000.0
Zd_Jac3,22836,1916152,0.000214,0.12984,9.6968
c-67b,57976,294955,0.000378,0.056176,1.2142
TSOPF_RS_b2052_c1,25627,6761100,0.000218,0.39128,1000000000.0
delaunay_n18,262145,786396,0.000211,0.188131,0.57
gupta3,16784,4670105,0.000221,0.586544,1161.864
GaAsH6,61350,1721579,0.000275,0.226246,6.0174
dblp-2010,326187,807700,0.000285,0.174637,1.7296
dawson5,51538,531157,0.000218,0.05944,0.3862
Geo_1438,1437961,32297325,0.000259,4.131504,1000000000.0
tmt_sym,726714,2903837,0.000208,0.338592,1.8111
cnr-2000,325558,3216152,0.000227,0.253264,8.2905
delaunay_n16,65537,196575,0.000298,0.040813,0.1913
kron_g500-logn18,262145,10583222,0.000224,1.95649,1000000000.0
af_shell3,504856,9046865,0.000173,1.219424,1000000000.0
lowThrust_8,17703,113139,0.000266,0.025898,0.4241
Zd_Jac6,22836,1711983,0.000218,0.11535,9.5481
Hamrle3,1447361,5514242,0.000214,1.2128,1000000000.0
Cube_Coup_dt0,2164761,64685452,0.000205,6.683913,1000000000.0
std1_Jac2,21983,1248731,0.000211,0.08137,6.8781
crystm02,13966,168435,0.000282,0.023149,0.2868
foldoc,13357,120238,0.000246,0.02001,0.8831
bundle1,10582,390741,0.000307,0.055178,0.7331
patents,3774769,14970767,0.000166,4.402381,1000000000.0
ted_AB_unscaled,10606,522387,0.000246,0.03895,0.7315
wathen100,30402,251001,0.000208,0.027475,0.168
c-62ghs,41732,300537,0.000224,0.039082,14.0047
delaunay_n21,2097153,6291408,0.00017,1.47535,1000000000.0
mult_dcop_02,25188,193276,0.000301,0.023827,139.9411
bcsstk36,23053,583096,0.000218,0.058883,0.4279
333SP,3712816,11108633,0.000224,4.218083,1000000000.0
TSOPF_RS_b300_c1,14539,1474325,0.00017,0.087434,1.2003
Long_Coup_dt0,1470153,44279572,0.000208,4.974621,1000000000.0
lp1,534389,1088904,0.00023,0.26231,0.9919
denormal,89401,622812,0.000227,0.067405,0.398
c-56,35911,208405,0.000218,0.030186,3.1579
wikipedia-20051105,1634990,19753078,0.00017,3.152813,1000000000.0
bcsstk30,28925,1036208,0.000221,0.123254,0.6987
astro-ph,16707,121251,0.000227,0.023571,0.5454
conf5_4-8x8-10,49153,1916928,0.000218,0.127965,0.8018
kron_g500-logn16,65537,2456398,0.000342,0.362966,45.4218
af_shell9,504856,9046865,0.000202,1.220637,1000000000.0
