dataSet,num_nodes,num_edges,sputnik,cusparse,rode,gespmm,advisor,tcgnn,dtc
c-43,11126,67400,0.12127,0.040666,0.035126,0.0276,0.0454,1.0168,0.115171194076538
c-45,13207,93829,0.119146,0.048541,0.036374,0.0317,0.0472,0.4003,0.1288959980010986
c-46,14914,72655,0.093786,0.047478,0.035798,0.033,0.0522,0.7746,0.1296031922101974
c-47,15344,113372,0.11617,0.058621,0.042378,0.0367,0.0646,2.6313,0.1413599997758865
c-48,18355,92217,0.080733,0.058051,0.040099,0.0421,0.0761,3.7149,0.1776064038276672
c-49,21133,89087,0.099142,0.065152,0.045296,0.0496,0.0927,6.1301,0.1874592006206512
c-50,22402,108013,0.131219,0.069056,0.050246,0.0549,0.0982,6.0314,0.1976864039897918
c-51,23197,113123,0.116998,0.072438,0.052205,0.0577,0.106,6.2008,0.1987455934286117
c-52,23949,113332,0.118746,0.074355,0.05151,0.0597,0.1065,6.9429,0.2034784108400344
c-53,30236,201224,0.25424,0.106384,0.064474,0.075,0.1304,1.8111,0.1833312064409256
c-54,31794,211743,0.176307,0.110854,0.074656,0.0778,0.1449,7.7326,0.1819359958171844
c-55,32781,218115,0.195613,0.11312,0.081894,0.0812,0.1625,12.6133,0.2322560101747512
c-56,35911,208405,0.175245,0.112614,0.066,0.0833,0.158,6.2738,0.2177120000123977
c-57,37834,221515,0.525126,0.119696,0.072147,0.0873,0.146,0.8775,0.1943392008543014
c-58,37596,295076,0.328237,0.133949,0.094726,0.0955,0.1799,24.9326,0.2208127975463867
c-59,41283,260909,0.235421,0.135773,0.091571,0.0984,0.1977,14.2405,0.2125535905361175
c-60,43641,171109,0.198829,0.12409,0.072726,0.096,0.1778,10.0434,0.2407072037458419
c-61,43619,176817,0.219062,0.124986,0.078163,0.0954,0.1841,13.4539,0.2538719773292541
c-62,41732,300537,0.341949,0.14055,0.098899,0.102,0.1904,24.9523,0.2615744173526764
c-62ghs,41732,300537,0.343667,0.141062,0.099005,0.102,0.1915,24.9159,0.2488064020872116
c-63,44235,239469,0.247584,0.136378,0.090454,0.101,0.2009,15.395,0.2535071969032287
c-64,51036,384438,0.582621,0.178435,0.11369,0.1188,0.2122,1.5156,0.2601376175880432
c-64b,51036,384438,0.58265,0.177274,0.114163,0.1187,0.2125,1.5133,0.2632672190666199
c-65,48067,204297,0.26376,0.13905,0.08281,0.1038,0.2043,16.0728,0.2579776048660278
c-66,49990,274498,0.381974,0.151453,0.098086,0.1092,0.2013,13.8655,0.2663680016994476
c-66b,49990,274498,0.381162,0.151638,0.09768,0.1097,0.2025,13.9794,0.264735996723175
c-67b,57976,294955,0.312454,0.17119,0.114899,0.1252,0.2232,2.7324,0.2905344069004059
c-68,64811,315408,0.325686,0.19441,0.126531,0.1442,0.2693,13.0757,0.3041376173496246
c-69,67459,345714,0.391914,0.206714,0.134416,0.1501,0.2821,21.7496,0.3277087807655334
c-70,68925,363955,0.399085,0.214074,0.141882,0.1547,0.2878,21.6701,0.3415327966213226
c-71,76639,468096,0.535264,0.248944,0.176822,0.1873,0.337,36.2301,0.3707999885082245
c-73,169423,724348,2.173955,0.527581,0.436342,0.3838,0.5696,2.009,0.7441376447677612
c-73b,169423,724348,2.172,0.527245,0.436093,0.3841,0.5695,2.0081,0.7363680005073547
ca-AstroPh,18773,198110,0.094669,0.094886,0.06,0.0502,0.0945,4.1044,0.1930655986070633
ca-CondMat,23134,93497,0.084557,0.073661,0.039475,0.0368,0.0825,1.8008,0.209862396121025
cage14,1505786,27130349,12.241776,7.328227,5.193197,8.4122,9.825,1000000000.0,14.13225555419922
caidaRouterLevel,192245,609066,0.82375,0.562723,0.397162,0.3439,0.6075,3.4187,0.9523072242736816
cant,62452,2034917,0.607747,0.564627,0.493622,0.3917,0.5532,2.2637,0.425987184047699
case39,40217,526139,1.064038,0.190259,0.163642,0.1046,0.1912,0.7988,0.1719935983419418
case9,14455,75801,0.31113,0.046368,0.03953,0.0241,0.0387,0.2946,0.0957311987876892
c-big,345242,1343126,2.217888,1.12887,0.849558,0.8623,1.2464,175.4113,1.5994240045547483
cbuckle,13682,345098,0.100848,0.107357,0.082234,0.0639,0.1079,2.6142,0.0994400009512901
ccc,49153,73728,0.158381,0.120118,0.068086,0.1085,0.1464,0.4869,0.2814944088459015
cfd1,70657,949510,0.450074,0.409146,0.175066,0.2381,0.3197,2.0448,0.4658144116401672
Chebyshev4,68122,5377761,3.718912,1.011914,0.586256,1.1196,1.9475,1000000000.0,0.9388831853866576
circuit_4,80210,307604,0.544077,0.188582,0.129578,0.1714,0.3045,42.6342,0.3734751939773559
circuit5M_dc,3523318,19194193,16.012215,10.272598,7.470106,10.6949,13.5169,1000000000.0,16.706829071044922
citationCiteseer,268496,1156647,1.383424,1.085226,0.740998,0.5738,0.9381,10.2349,1.3344063758850098
cit-Patents,3774769,16518948,16.907427,12.228358,8.960227,11.6471,14.1312,1000000000.0,15.33127784729004
ckt11752_dc_1,49703,333029,0.283837,0.134774,0.08448,0.1331,0.2116,17.2466,0.2523807883262634
ckt11752_tr_0,49703,333029,0.283347,0.135446,0.084509,0.1328,0.2116,17.0935,0.2583679854869842
cnr-2000,325558,3216152,1.384413,0.765485,0.690048,0.8341,1.2389,15.7143,1.3726016283035278
CO,221120,3943588,1.537155,1.251312,1.267702,0.9454,1.1589,11.7015,1.6833823919296265
coAuthorsCiteseer,227321,814134,1.035098,0.615059,0.472512,0.4109,0.7147,1.93,1.0177056789398191
coAuthorsDBLP,299068,977676,1.400512,0.855856,0.65145,0.5531,0.9309,2.7797,1.264313578605652
cond-mat-2003,31164,120029,0.113542,0.09193,0.049939,0.0588,0.1052,0.6631,0.1705344021320343
cond-mat-2005,40422,175693,0.152877,0.120275,0.072288,0.0755,0.139,0.87,0.2088992148637771
conf5_4-8x8-05,49153,1916928,0.295389,0.302634,0.305958,0.3794,0.5298,2.6277,0.3847487866878509
conf5_4-8x8-10,49153,1916928,0.29584,0.30295,0.306202,0.3793,0.5302,2.619,0.3870624005794525
conf5_4-8x8-15,49153,1916928,0.295014,0.302701,0.30649,0.3796,0.53,2.6282,0.3822848200798034
conf5_4-8x8-20,49153,1916928,0.294742,0.30345,0.305859,0.379,0.5297,2.6268,0.3877183794975281
conf6_0-8x8-20,49153,1916928,0.295488,0.302275,0.306442,0.3791,0.5298,2.6155,0.3896192014217376
conf6_0-8x8-30,49153,1916928,0.295718,0.302998,0.30671,0.3795,0.5299,2.6259,0.3849024176597595
conf6_0-8x8-80,49153,1916928,0.2952,0.303354,0.306211,0.379,0.5303,2.633,0.3874816000461578
consph,83335,3046907,0.726746,1.097587,0.661549,0.5784,0.846,3.071,0.5885728001594543
cont-201,80596,239596,0.313206,0.201629,0.125664,0.1512,0.248,0.9686,0.3668224215507507
cont-300,180896,539396,0.706336,0.421203,0.299501,0.3432,0.5432,1.9874,0.7921568155288696
coPapersCiteseer,434103,16036720,4.874749,4.525497,4.216122,3.2498,4.7361,1000000000.0,2.384249687194824
coPapersDBLP,540487,15245729,6.054067,4.771475,4.504483,3.3377,4.8407,1000000000.0,2.934217691421509
copter1,17223,114143,0.069158,0.061459,0.033958,0.0308,0.0622,0.3919,0.1155136004090309
CoupCons3D,416801,22322336,3.562822,3.306752,3.023482,4.2558,5.6036,1000000000.0,3.512585401535034
crankseg_1,52805,5333507,1.053539,1.479005,0.941891,0.9652,1.3169,1000000000.0,0.6183615922927856
crankseg_2,63839,7106348,1.381235,1.962742,1.237606,1.2864,1.7427,1000000000.0,0.7730687856674194
crplat2,18011,489478,0.119517,0.151869,0.104614,0.0931,0.1473,0.6113,0.1252383887767791
crystk02,13966,491274,0.111366,0.149152,0.094432,0.087,0.1461,0.6758,0.1251647919416427
crystk03,24697,887937,0.205485,0.260061,0.179693,0.1593,0.2591,0.8821,0.1683968007564544
crystm02,13966,168435,0.069974,0.072125,0.038394,0.039,0.0608,0.5602,0.1078784018754959
crystm03,24697,304233,0.129856,0.122726,0.067558,0.0784,0.1193,0.6719,0.1673887968063354
ct2010,67579,168176,0.254496,0.162301,0.102858,0.1118,0.1905,1.0616,0.3336544036865234
ct20stif,52330,1375396,0.413082,0.396598,0.347523,0.2718,0.4087,3.0607,0.2721791863441467
Cube_Coup_dt0,2164761,64685452,18.232138,20.239681,14.844439,13.7905,16.8176,1000000000.0,12.363061904907228
Cube_Coup_dt6,2164761,64685452,18.2292,20.659683,14.882935,13.7919,16.8182,1000000000.0,12.436495780944824
CurlCurl_0,11084,62213,0.039968,0.039446,0.017766,0.0216,0.0345,0.2807,0.0910880044102668
CurlCurl_4,2380516,14448191,12.776611,6.574125,4.650349,5.5446,8.1589,1000000000.0,9.937551498413086
cvxqp3,17501,69981,0.060765,0.053786,0.026752,0.0309,0.0504,0.4595,0.125516802072525
cyl6,13682,363961,0.094234,0.114845,0.084259,0.0665,0.1127,2.9819,0.1013632044196128
darcy003,389875,1167685,1.587584,1.237885,0.890768,0.983,1.3229,4.3308,1.7271007299423218
dawson5,51538,531157,0.291312,0.20073,0.113846,0.1576,0.2187,1.1409,0.2624672055244446
dblp-2010,326187,807700,1.354243,0.668003,0.533856,0.5154,0.814,3.9212,1.475996732711792
dc3,116836,766396,5.889859,0.33967,0.240963,0.3292,0.5798,8330.5742,0.6334432363510132
de2010,24116,58028,0.078074,0.066531,0.0372,0.0349,0.0776,0.5084,0.2128416001796722
debr,1048577,2097149,3.834285,3.208403,2.325648,2.4081,3.3209,1000000000.0,4.355001449584961
delaunay_n15,32769,98274,0.11415,0.087654,0.048189,0.0633,0.1035,0.3323,0.2404992133378982
delaunay_n16,65537,196575,0.259619,0.172477,0.105805,0.1174,0.1935,0.5884,0.3154464066028595
delaunay_n17,131073,393176,0.583267,0.340778,0.240397,0.2368,0.3706,1.0851,0.6349152326583862
delaunay_n18,262145,786396,1.241894,0.674109,0.505779,0.4921,0.726,2.0491,1.1391584873199463
delaunay_n19,524289,1572823,2.543434,1.335683,1.026416,1.006,1.4397,3.9675,2.2005152702331543
delaunay_n20,1048577,3145686,5.136131,2.6696,2.055469,2.0457,2.8563,1000000000.0,4.252390384674072
delaunay_n21,2097153,6291408,10.309094,5.312176,4.108983,4.1518,5.7078,1000000000.0,8.32118034362793
delaunay_n22,4194305,12582869,20.74073,10.628201,8.211565,8.3022,11.3719,1000000000.0,16.538326263427734
denormal,89401,622812,0.431379,0.243658,0.151075,0.2143,0.3081,1.4835,0.5089312195777893
dictionary28,52653,89038,0.159859,0.116454,0.06631,0.0787,0.1098,0.9477,0.2706176042556762
dielFilterV2clx,607233,12958252,6.304787,3.831952,4.084521,2.8956,3.7469,1000000000.0,3.776908874511719
dielFilterV2real,1157457,24848204,12.314883,7.669463,7.955945,5.6483,7.4314,1000000000.0,7.298009395599365
dielFilterV3clx,420409,16653308,5.626365,4.836973,4.672675,3.3231,4.4481,1000000000.0,3.184614419937134
Dubcova1,16130,134569,0.069971,0.065062,0.031494,0.0356,0.0533,0.5267,0.1307775974273681
Dubcova3,146690,1891669,1.025549,0.78528,0.517206,0.4767,0.7086,2.3715,0.6918432116508484
e40r0100,17282,553562,0.102608,0.099997,0.068394,0.1066,0.1746,1.3573,0.1375136077404022
EAT_RS,23220,325592,0.111734,0.084406,0.05439,0.076,0.1395,5.8142,0.2376960068941116
ecology1,1000001,2998000,3.76984,1.900173,1.41569,2.1582,2.8609,1000000000.0,4.198195457458496
ecology2,1000000,2997995,3.770694,1.899328,1.415862,2.1521,2.8609,9.7705,4.16223669052124
email-Enron,36693,183831,0.195146,0.116458,0.077907,0.0851,0.1313,1.7067,0.2380543947219848
Emilia_923,923137,20964171,6.806336,6.09097,6.193165,4.4913,5.8078,1000000000.0,5.107593536376953
engine,143572,2424822,1.155014,0.784954,0.630848,0.6193,0.8967,6.2285,0.8352864384651184
enron,69245,276143,0.243306,0.141504,0.095363,0.1119,0.1504,11.3985,0.3312895894050598
eu-2005,862665,19235140,5.134793,3.125312,2.773296,4.116,5.5958,1000000000.0,4.512809753417969
ex11,16615,1096948,0.140861,0.165981,0.114368,0.1936,0.2939,1.4886,0.1457568109035492
ex19,12006,259879,0.05983,0.059882,0.030195,0.0547,0.0897,0.7485,0.1060127988457679
F1,343792,13590452,4.475558,4.302,3.911978,2.8962,4.049,1000000000.0,2.6344032287597656
F2,71506,2682895,0.721578,0.81936,0.651242,0.5367,0.7734,4.5471,0.5465887784957886
Fault_639,638803,14626683,4.96256,4.136169,4.235814,3.0634,4.0406,1000000000.0,3.503622531890869
fcondp2,201823,5748069,1.57721,1.631462,1.359363,1.1441,1.6064,1000000000.0,1.0747039318084717
fem_hifreq_circuit,491101,20239237,4.158608,3.232083,3.336042,4.5695,5.4674,1000000000.0,4.828585624694824
filter3D,106438,1406808,0.833552,0.462256,0.346976,0.363,0.4878,3.9593,0.6478239893913269
finance256,37377,167936,0.141171,0.10872,0.059094,0.0775,0.1344,0.6737,0.201104000210762
Flan_1565,1564795,59485419,14.57177,18.167057,13.639742,11.4204,15.8235,1000000000.0,9.410691261291504
flickr,820879,9837214,4.06896,2.777805,2.439408,3.0834,4.3147,1000000000.0,6.230511665344238
foldoc,13357,120238,0.04496,0.041702,0.021587,0.0333,0.0626,1.7213,0.106438398361206
Freescale1,3428756,18920347,15.494458,11.251482,8.578345,11.5288,14.6433,1000000000.0,17.334049224853516
fullb,199188,5953632,1.742282,1.78959,1.514182,1.2214,1.7317,1000000000.0,1.0743136405944824
fxm4_6,18893,258368,0.104374,0.094333,0.06224,0.0576,0.1106,1.4325,0.1222944036126136
G2_circuit,150103,438388,0.587283,0.321082,0.22487,0.3201,0.4543,1.5887,0.7413216233253479
G3_circuit,1585479,4623152,6.280345,3.570333,2.631795,3.5463,4.7772,1000000000.0,6.704643249511719
Ga10As10H30,113082,3114357,0.91777,0.914739,0.89032,0.6933,0.8536,9.4492,0.963270366191864
Ga19As19H42,133124,4508981,1.255315,1.299715,1.22296,0.9672,1.1992,11.9203,1.1844415664672852
Ga3As3H12,61350,3016148,0.689056,0.83015,0.725123,0.5924,0.794,11.5586,0.6250944137573242
Ga41As41H72,268097,9378286,2.846822,2.765091,2.600227,2.0041,2.5199,1000000000.0,2.411167860031128
GaAsH6,61350,1721579,0.497174,0.504598,0.472333,0.3749,0.4847,10.7262,0.5203936100006104
gas_sensor,66918,885141,0.42103,0.277472,0.161488,0.2249,0.2953,2.0194,0.4491615891456604
Ge87H76,112986,4002590,1.175882,1.163085,1.062675,0.8489,1.0624,10.4733,1.063155174255371
Ge99H100,112986,4282190,1.23679,1.239229,1.114275,0.8949,1.1275,10.8512,1.0784223079681396
gearbox,153747,4617075,1.331146,1.26089,1.144746,0.9362,1.2744,4.8951,0.9332927465438844
Geo_1438,1437961,32297325,11.008768,9.617267,9.618662,6.9815,8.9395,1000000000.0,7.82245397567749
gridgena,48963,280523,0.21223,0.136995,0.076384,0.1083,0.1713,0.5942,0.2432320117950439
gsm_106857,589447,11174185,6.924329,7.726979,7.036057,4.2503,5.1932,1000000000.0,6.260668754577637
gupta1,31803,1098006,0.597693,0.311395,0.248336,0.1831,0.299,1.8007,0.2111103981733322
gupta2,62065,2155175,0.935843,0.590659,0.504605,0.3823,0.5629,3.0907,0.4025983810424804
gupta3,16784,4670105,1.39344,1.18736,0.954918,0.8709,1.2818,1236.1626,0.3043968081474304
gyro,17362,519260,0.137171,0.15911,0.11727,0.0994,0.1604,1.2061,0.1304351985454559
gyro_k,17362,519260,0.136477,0.158726,0.1172,0.0996,0.1607,1.2066,0.1279104053974151
gyro_m,17362,178896,0.083664,0.081955,0.043229,0.0474,0.0806,1.055,0.1200639978051185
H2O,67025,1141880,0.423424,0.365741,0.361779,0.2734,0.3462,3.6721,0.5224063992500305
halfb,224618,6306219,1.817703,1.864141,1.61112,1.2914,1.8008,1000000000.0,1.1828128099441528
Hamrle3,1447361,5514242,5.738304,3.501917,2.679984,3.788,5.1647,1000000000.0,6.272278308868408
hangGlider_4,15562,79088,0.483299,0.051974,0.042832,0.032,0.07,32.0154,0.1370368003845214
hangGlider_5,16012,82070,0.510189,0.05361,0.044304,0.0323,0.0674,32.607,0.1437599956989288
helm2d03,392258,1567096,1.704921,1.148598,0.86583,0.8794,1.2817,3.7414,1.6992639303207395
helm3d01,32227,230335,0.147322,0.120166,0.063376,0.0778,0.1269,0.871,0.190457597374916
hi2010,25017,62063,0.081917,0.072886,0.039466,0.0389,0.0804,0.6523,0.196262389421463
hollywood-2009,1139906,57515616,26.709076,18.895529,16.464554,13.2429,17.8109,1000000000.0,14.937711715698242
hood,220543,5494489,1.75071,1.613606,1.66641,1.1983,1.719,1000000000.0,1.1410815715789795
Hook_1498,1498024,31207734,14.57314,9.411978,8.63697,6.8536,8.9958,1000000000.0,7.621164798736572
HTC_336_4438,226341,565431,1.106147,0.629904,0.46729,0.5013,0.7506,3.4032,0.978608012199402
HTC_336_9129,226341,554881,1.101226,0.632342,0.466589,0.5041,0.7512,3.3902,0.9897407293319702
human_gene1,22284,12345963,2.302662,3.536541,3.145923,2.2525,3.1758,1000000000.0,2.173804759979248
human_gene2,14341,9041364,1.697974,2.557264,2.181283,1.6178,2.2792,1000000000.0,1.3394848108291626
ibm_matrix_2,51449,1056610,0.447754,0.199498,0.106445,0.2293,0.348,57.991,0.366729587316513
igbt3,10939,234006,0.055949,0.054694,0.030173,0.0549,0.0753,1.5391,0.1100031957030296
in-2004,1382909,16917053,6.395721,3.173472,2.820637,4.1333,5.9255,1000000000.0,5.485865592956543
inlet,11731,328323,0.06513,0.06527,0.036806,0.0609,0.1045,0.5682,0.1037119999527931
inline_1,503713,18660027,6.333526,5.487763,4.964845,3.734,5.1192,1000000000.0,3.173004627227783
jan99jac120sc,41375,260202,0.142896,0.108099,0.062029,0.096,0.1702,1.0518,0.2146847993135452
juba40k,40338,144945,0.128803,0.096262,0.058093,0.0877,0.1485,0.8697,0.2153791934251785
k3plates,11108,378927,0.063766,0.069802,0.04249,0.0706,0.122,0.8004,0.1036576032638549
kim1,38416,933195,0.218122,0.182275,0.092746,0.1918,0.2483,1.3817,0.2263199985027313
kkt_power,2063495,8130343,10.515632,5.925251,4.686067,5.1558,7.0221,1000000000.0,9.724361419677734
kron_g500-logn16,65537,2456398,1.332698,0.743485,0.672941,0.5008,0.7505,75.9588,1.0670623779296875
kron_g500-logn17,131073,5114375,2.565334,1.602874,1.488762,1.0653,1.6037,1000000000.0,2.251699209213257
kron_g500-logn18,262145,10583222,4.995625,3.48569,3.213021,2.2584,3.4494,1000000000.0,4.81589412689209
kron_g500-logn19,524289,21781478,9.849981,8.514887,7.355568,5.1,7.8457,1000000000.0,10.374128341674805
kron_g500-logn20,1048577,44620272,19.505915,21.429632,15.929767,11.3813,17.78,1000000000.0,22.353248596191406
laminar_duct3D,67174,3833077,0.549642,0.618902,0.41239,0.7225,0.9586,4.4755,0.6154624223709106
language,399131,1216334,1.816211,0.954979,0.687891,0.9244,1.3754,80.9971,1.847145676612854
largebasis,440021,5560100,2.296813,1.522723,1.14152,1.6907,2.2639,1000000000.0,2.2632222175598145
ldoor,952204,23737339,7.830749,7.023024,7.484515,5.2989,7.4511,1000000000.0,4.700198173522949
lhr34,35153,764014,0.17671,0.15103,0.101427,0.1595,0.2597,1.0556,0.2069600075483322
lhr34c,35153,764014,0.177235,0.151485,0.101363,0.1593,0.2608,1.0539,0.208064004778862
lhr71,70305,1528092,0.408704,0.279206,0.219882,0.3401,0.4957,1.8329,0.4801248013973236
