dataSet,num_nodes,num_edges,sputnik,cusparse,rode,gespmm,advisor,tcgnn,dtc
144,144650,1074393,0.966045,0.657546,0.346109,0.3757,0.6167,4.7656,0.8853247761726379
2D_27628_bjtcai,27629,442898,0.122458,0.099686,0.048784,0.0953,0.1778,1.0919,0.1708351969718933
2D_54019_highK,54020,996414,0.293949,0.191446,0.105005,0.2196,0.332,9.6331,0.2815871834754944
333SP,3712816,11108633,17.869078,13.866144,9.566371,9.3289,12.6262,1000000000.0,16.180265426635742
3D_28984_Tetra,28985,599170,0.263501,0.123648,0.063904,0.1217,0.2188,36.7159,0.1846975982189178
3D_51448_3D,51449,1056610,0.443059,0.200214,0.105885,0.2286,0.3478,57.8411,0.3668735921382904
3Dspectralwave,680944,17165766,8.19144,5.393472,4.930845,3.8337,5.1713,1000000000.0,5.267481803894043
3Dspectralwave2,292009,7307376,3.171798,2.230138,1.875306,1.6108,2.0611,1000000000.0,2.239977598190308
3dtube,45331,1629474,0.439363,0.466915,0.359898,0.3044,0.458,13.4841,0.3547199964523315
598a,110972,741934,0.64416,0.554605,0.279328,0.2907,0.4988,3.8784,0.6784127950668335
a0nsdsil,80017,200021,0.52065,0.239107,0.147565,0.1319,0.2497,58.9111,0.3193088173866272
a2nnsnsl,80017,196115,0.519693,0.238109,0.14687,0.1319,0.2491,58.7367,0.3179967999458313
a5esindl,60009,145004,0.641392,0.171763,0.099206,0.1048,0.1892,27.0383,0.2531359791755676
af_0_k101,503626,9027150,2.72496,2.378445,3.118842,1.8883,2.7932,1000000000.0,2.305065631866455
af_1_k101,503626,9027150,2.733034,2.377578,3.157619,1.8879,2.7907,1000000000.0,2.3040318489074707
af_2_k101,503626,9027150,2.724605,2.377242,3.113334,1.8883,2.7812,1000000000.0,2.294441699981689
af_3_k101,503626,9027150,2.724368,2.37775,3.128051,1.8884,2.7844,1000000000.0,2.305478572845459
af_4_k101,503626,9027150,2.72495,2.377408,3.116448,1.8883,2.7858,1000000000.0,2.2783520221710205
af_5_k101,503626,9027150,2.725098,2.377017,3.115062,1.8878,2.7846,1000000000.0,2.3082079887390137
af_shell1,504856,9046865,2.732182,2.401222,3.039619,1.8917,2.8169,1000000000.0,2.23779821395874
af_shell10,1508066,27090195,8.071379,7.409763,9.209629,5.6713,8.1016,1000000000.0,6.758150577545166
af_shell2,504856,9046865,2.733059,2.401802,3.05975,1.8914,2.817,1000000000.0,2.257859230041504
af_shell3,504856,9046865,2.734144,2.402663,3.050832,1.8916,2.8172,1000000000.0,2.247004985809326
af_shell4,504856,9046865,2.730937,2.400237,3.066381,1.8918,2.8166,1000000000.0,2.235097646713257
af_shell5,504856,9046865,2.731706,2.399584,3.062634,1.8911,2.8167,1000000000.0,2.238224029541016
af_shell6,504856,9046865,2.73209,2.403133,3.048013,1.8913,2.8172,1000000000.0,2.2462687492370605
af_shell7,504856,9046865,2.731955,2.401232,3.070122,1.8912,2.8172,1000000000.0,2.239766359329224
af_shell8,504856,9046865,2.732234,2.402125,3.072634,1.8914,2.8249,1000000000.0,2.2390079498291016
af_shell9,504856,9046865,2.732,2.401718,3.041034,1.8918,2.8176,1000000000.0,2.247609615325928
ak2010,45293,108549,0.15159,0.115792,0.069251,0.0754,0.14,2.059,0.2631615996360779
amazon0505,410236,4878874,1.978198,1.391942,0.906621,1.8102,2.5946,4.7228,2.9658143520355225
Andrews,60001,410077,0.310342,0.244442,0.144086,0.1492,0.2694,2.4426,0.4109216332435608
AS365,3799276,11368076,19.725872,15.602972,11.868727,10.4824,13.1906,1000000000.0,17.107919692993164
as-caida,31380,106762,0.210394,0.075347,0.058339,0.0602,0.1151,14.6958,0.1949504017829895
as-Skitter,1696416,11095298,11.648566,7.170663,6.317168,4.2602,6.5803,1000000000.0,7.473177433013916
astro-ph,16707,121251,0.068288,0.065933,0.034912,0.036,0.0671,1.0553,0.1357631981372833
auto,448696,3314611,3.684781,2.641917,1.580886,1.3036,2.0581,14.3292,2.6190848350524902
barrier2-1,113077,3805068,1.021386,0.68112,0.619894,0.8764,1.1317,67.4696,1.424249529838562
barrier2-10,115626,3897557,1.126749,0.698134,0.63848,0.8988,1.1581,97.6036,1.496489644050598
barrier2-11,115626,3897557,1.123718,0.696787,0.638147,0.8988,1.1583,97.4248,1.491363286972046
barrier2-12,115626,3897557,1.124394,0.695376,0.638362,0.8998,1.1585,97.0843,1.4896256923675537
barrier2-2,113077,3805068,1.022755,0.682643,0.620038,0.8765,1.1316,67.3017,1.4261376857757568
barrier2-3,113077,3805068,1.020726,0.681008,0.619894,0.8765,1.1321,67.6171,1.4252703189849854
barrier2-4,113077,3805068,1.02281,0.682538,0.620339,0.8761,1.1317,67.5487,1.4236671924591064
barrier2-9,115626,3897557,1.125059,0.697571,0.63881,0.8985,1.1577,97.6972,1.4970752000808716
bauru5727,40367,145019,0.129034,0.095616,0.058006,0.0887,0.1482,0.8892,0.2143807858228683
bbmat,38745,1771722,0.309222,0.270384,0.169709,0.3278,0.4689,2.0624,0.3260768055915832
bcsstk17,10975,219812,0.064186,0.07569,0.045744,0.0434,0.0773,0.7569,0.1052543967962265
bcsstk18,11949,80519,0.046634,0.047904,0.02383,0.0275,0.0468,0.5221,0.108006402850151
bcsstk25,15440,133840,0.068749,0.062605,0.033018,0.0336,0.0578,0.3807,0.1032799929380416
bcsstk29,13993,316740,0.095034,0.102211,0.065165,0.0603,0.1015,0.6112,0.1125504001975059
bcsstk30,28925,1036208,0.264813,0.295488,0.228307,0.1909,0.3052,1.4276,0.1786656081676483
bcsstk31,35589,608502,0.223952,0.194454,0.131469,0.1256,0.2178,1.0209,0.1964640021324157
bcsstk32,44610,1029655,0.324224,0.302915,0.252611,0.2031,0.3205,1.5444,0.2340863943099975
bcsstk35,30238,740200,0.211638,0.229574,0.171107,0.1419,0.2329,1.1872,0.1783647984266281
bcsstk36,23053,583096,0.155219,0.176893,0.131898,0.1121,0.1889,0.8531,0.1548480093479156
bcsstk37,25504,583240,0.16799,0.176768,0.131408,0.1129,0.1843,0.7672,0.1638335883617401
bcsstk39,46773,1068033,0.311904,0.305811,0.29177,0.2108,0.3172,1.2242,0.2364383935928344
bcsstm36,23053,166389,0.088461,0.073027,0.041885,0.0381,0.0686,0.4969,0.1224544048309326
belgium_osm,1441296,1549970,5.157613,2.905879,2.065498,2.8301,3.8039,1000000000.0,5.632502555847168
BenElechi1,245875,6698185,1.834816,1.804502,1.630374,1.2781,1.6832,1000000000.0,1.2208192348480225
blockqp1,60013,340022,2.17839,0.201411,0.119606,0.1276,0.2457,840.0153,0.2955008149147033
bloweya,30005,80005,0.44976,0.07881,0.059808,0.0582,0.1094,55.1818,0.1922784000635147
bloweybl,30004,70001,0.445955,0.077939,0.06143,0.0649,0.1108,51.0307,0.2046400010585785
bmw3_2,227363,5757996,1.880621,1.612883,1.466781,1.1892,1.7158,1000000000.0,1.195958375930786
bmw7st_1,141348,3740507,1.166912,1.058458,0.947811,0.768,1.1016,6.3149,0.8071776628494263
bmwcra_1,148771,5396386,1.406598,1.489651,1.236445,1.0419,1.4322,1000000000.0,0.9308064579963684
bone010,986704,36326514,9.56439,10.536697,8.250387,6.8312,9.7292,1000000000.0,5.705696105957031
boneS01,127225,3421188,1.128301,0.961066,0.855098,0.6934,0.9821,3.4571,0.7394911646842957
boneS10,914899,28191660,9.493897,7.983658,6.883792,5.5743,7.6865,1000000000.0,5.028384208679199
boyd1,93280,652246,5.219389,0.422342,0.327437,0.3389,0.7019,15124.6123,0.4782879948616028
boyd2,466317,890091,6.193475,1.281357,0.975171,1.0196,1.417,539.0497,1.9241822957992556
brack2,62632,366559,0.305571,0.202275,0.123203,0.1411,0.241,1.7864,0.3017823994159698
brainpc2,27608,96601,0.716829,0.080102,0.056624,0.0518,0.0803,0.2545,0.1932767927646637
bratu3d,27793,88627,0.090224,0.081747,0.039098,0.0404,0.0466,0.5466,0.179337590932846
Bump_2911,2911420,65320659,21.705364,19.743799,19.437143,13.8336,17.5054,1000000000.0,15.425801277160645
bundle1,10582,390741,0.147472,0.117658,0.086467,0.0676,0.1171,1.3409,0.1157567948102951
bundle_adj,513352,10360701,3.89423,2.821478,2.32319,2.0162,2.827,1000000000.0,2.193401575088501
c-42,10472,60378,0.074275,0.039997,0.032659,0.0256,0.0526,3.0973,0.115171194076538
