H100 : 
Coauthor_Physics,3-64,5.3071
FacebookPagePage,3-64,3.7804
email-Enron,3-64,4.5136
loc-Brightkite,3-64,5.5139
soc-Epinions1,3-64,9.2143
HR_NO,3-64,9.7047
HU_NO,3-64,5.1874
GitHub,3-64,6.1679
artist,3-64,14.518
blog,3-64,36.7181
ell,3-64,9.6631
com-DBLP,3-64,25.7374
amazon0505,3-64,50.9235
dd,3-64,22.8251
comamazon,3-64,24.4726
roadNet-PA,3-64,59.4213
roadNet-TX,3-64,74.9546
yeast,3-64,85.0046
Coauthor_Physics,3-128,9.1857
FacebookPagePage,3-128,6.3812
email-Enron,3-128,7.5152
loc-Brightkite,3-128,9.3482
soc-Epinions1,3-128,15.8754
HR_NO,3-128,17.5098
HU_NO,3-128,9.0368
GitHub,3-128,10.63
artist,3-128,26.4435
blog,3-128,66.3397
ell,3-128,16.0747
com-DBLP,3-128,45.2217
amazon0505,3-128,91.1947
dd,3-128,39.4664
comamazon,3-128,42.716
roadNet-PA,3-128,97.4657
roadNet-TX,3-128,123.0986
yeast,3-128,138.3337
Coauthor_Physics,3-256,17.353
FacebookPagePage,3-256,11.848
email-Enron,3-256,13.8187
loc-Brightkite,3-256,17.1757
soc-Epinions1,3-256,29.4506
HR_NO,3-256,33.4366
HU_NO,3-256,16.9036
GitHub,3-256,19.8847
artist,3-256,51.0299
blog,3-256,128.6845
ell,3-256,29.1425
com-DBLP,3-256,85.826
amazon0505,3-256,177.202
dd,3-256,73.899
comamazon,3-256,80.5137
roadNet-PA,3-256,179.2678
roadNet-TX,3-256,227.0785
yeast,3-256,253.9197
Coauthor_Physics,6-64,10.0266
FacebookPagePage,6-64,7.1445
email-Enron,6-64,8.4219
loc-Brightkite,6-64,10.0949
soc-Epinions1,6-64,17.421
HR_NO,6-64,18.6597
HU_NO,6-64,9.6473
GitHub,6-64,11.8299
artist,6-64,28.3319
blog,6-64,72.5506
ell,6-64,16.5867
com-DBLP,6-64,47.2514
amazon0505,6-64,96.049
dd,6-64,40.9667
comamazon,6-64,44.3817
roadNet-PA,6-64,99.9536
roadNet-TX,6-64,125.674
yeast,6-64,140.3108
Coauthor_Physics,6-128,17.7155
FacebookPagePage,6-128,12.2616
email-Enron,6-128,14.3829
loc-Brightkite,6-128,17.7012
soc-Epinions1,6-128,30.617
HR_NO,6-128,34.0269
HU_NO,6-128,17.21
GitHub,6-128,20.525
artist,6-128,52.0926
blog,6-128,131.1921
ell,6-128,28.7903
com-DBLP,6-128,85.2744
amazon0505,6-128,175.3745
dd,6-128,73.4581
comamazon,6-128,80.0946
roadNet-PA,6-128,173.3115
roadNet-TX,6-128,218.238
yeast,6-128,242.5253
Coauthor_Physics,6-256,33.837
FacebookPagePage,6-256,23.0568
email-Enron,6-256,26.6714
loc-Brightkite,6-256,33.1016
soc-Epinions1,6-256,57.3462
HR_NO,6-256,65.7716
HU_NO,6-256,32.7862
GitHub,6-256,38.9386
artist,6-256,100.8087
ell,6-256,53.9098
com-DBLP,6-256,164.7251
dd,6-256,140.4348
comamazon,6-256,153.6766
