dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,rode,ours_gflops
fcondp2, 201823, 201823, 5748069, 1000000.000000, 0.001472, 0.347133,4239.027990
ljournal-2008, 5363261, 5363261, 79023142, 1000000.000000, 0.020230, 9.965629,2029.969682
boyd2, 466317, 466317, 890091, 1099.845459, 0.207178, 0.252214,903.450750
cage14, 1505786, 1505786, 27130349, 1000000.000000, 0.006945, 2.430650,2857.412866
pcrystk02, 13966, 13966, 491274, 1.033290, 121.714320, 0.038054,3304.904078
torso1, 116159, 116159, 8516500, 1000000.000000, 0.002180, 0.558083,3906.628973
std1_Jac3, 21983, 21983, 1455848, 0.000227, 1640392.061658, 0.100986,3690.596415
net125, 36721, 36721, 1306960, 0.000240, 1394090.600451, 0.088195,3793.650501
sme3Dc, 42931, 42931, 3148656, 0.000221, 3650615.571168, 0.256381,3143.979374
NACA0015, 1039184, 1039184, 3114818, 0.000211, 3775536.940208, 0.831750,958.693155
dielFilterV2real, 1157457, 1157457, 24848204, 1000000.000000, 0.006361, 1.572502,4045.233975
vsp_barth5_1Ksep_50in_5Kout, 32213, 32213, 101805, 5.283254, 4.932960, 0.017610,1479.992670
nd6k, 18001, 18001, 3457658, 0.000253, 3501425.927362, 0.208022,4255.120757
tandem_vtx, 18455, 18455, 135902, 1.747027, 19.914350, 0.015357,2265.505319
TSOPF_FS_b300_c2, 56815, 56815, 4391071, 0.000240, 4683808.844198, 0.289190,3887.107356
me2010, 69519, 69519, 167738, 24.506840, 1.752202, 0.035597,1206.314281
Reuters911, 13333, 13333, 148038, 0.914454, 41.442995, 0.020486,1849.896950
Si41Ge41H72, 185640, 185640, 7598452, 1000000.000000, 0.001945, 0.451523,4308.092419
conf5_4-8x8-15, 49153, 49153, 1916928, 0.000237, 2072354.504314, 0.128390,3822.198425
gsm_106857, 589447, 589447, 11174185, 1000000.000000, 0.002861, 1.675104,1707.709757
gupta2, 62065, 62065, 2155175, 0.000192, 2873566.739259, 0.118413,4659.333945
cfd1, 70657, 70657, 949510, 25.388899, 9.574049, 0.059510,4084.572924
conf6_0-8x8-30, 49153, 49153, 1916928, 0.000170, 2893476.239927, 0.128211,3827.540551
rajat22, 39900, 39900, 197264, 8.094625, 6.238657, 0.024762,2039.431435
memplus, 17759, 17759, 126150, 1.615434, 19.991164, 0.020448,1579.342667
roadNet-TX, 1393384, 1393384, 3843312, 0.000221, 4456013.814166, 0.525651,1871.750395
ted_AB, 10606, 10606, 522387, 0.603971, 221.419619, 0.038739,3452.086442
cyl6, 13682, 13682, 363961, 0.977971, 95.272763, 0.022442,4151.843670
ohne2, 181344, 181344, 11063545, 1000000.000000, 0.002832, 0.779200,3634.840332
mario001, 38435, 38435, 114643, 7.525622, 3.899825, 0.019984,1468.605326
ca-HepPh, 12009, 12009, 118521, 0.744320, 40.763886, 0.020090,1510.302682
halfb, 224618, 224618, 6306219, 1000000.000000, 0.001614, 0.384963,4193.626959
kron_g500-logn17, 131073, 131073, 5114375, 1000000.000000, 0.001309, 0.390022,3356.935422
pkustk05, 37165, 37165, 1121154, 0.000230, 1245726.622604, 0.067814,4232.367067
Hook_1498, 1498024, 1498024, 31207734, 1000000.000000, 0.007989, 1.659002,4815.655505
bcsstk29, 13993, 13993, 316740, 1.022141, 79.329033, 0.021578,3757.852650
lowThrust_11, 18369, 18369, 117002, 1.732122, 17.292384, 0.013040,2296.971744
crplat2, 18011, 18011, 489478, 1.684922, 74.369255, 0.026653,4701.433363
rgg_n_2_22_s0, 4194305, 4194305, 30359198, 1000000.000000, 0.007772, 2.419402,3212.345915
circuit5M, 5558327, 5558327, 59524291, 1000000.000000, 0.015238, 9.164925,1662.667084
italy_osm, 6686494, 6686494, 7013978, 1000000.000000, 0.001796, 2.187923,820.677040
pkustk11, 87805, 87805, 2652858, 0.000243, 2792482.229276, 0.171872,3951.380470
a5esindl, 60009, 60009, 145004, 18.277168, 2.031005, 0.029946,1239.615301
soc-LiveJournal1, 4847572, 4847572, 68993773, 1000000.000000, 0.017662, 13.290416,1328.958096
pattern1, 19243, 19243, 4671337, 0.000202, 5931856.555026, 0.315725,3787.672886
human_gene1, 22284, 22284, 12345963, 1000000.000000, 0.003161, 0.849942,3718.565558
TSOPF_RS_b39_c30, 60099, 60099, 1079986, 0.000275, 1004638.139415, 0.088022,3140.977970
pkustk13, 94894, 94894, 3355860, 0.000250, 3441907.811364, 0.211750,4057.136176
Si10H16, 17078, 17078, 446500, 1.510074, 75.694325, 0.026861,4255.420477
qa8fk, 66128, 66128, 863353, 22.231197, 9.941812, 0.053072,4164.500488
lhr34c, 35153, 35153, 764014, 6.324676, 30.924525, 0.058592,3338.127934
stokes128, 49667, 49667, 295938, 12.544611, 6.039257, 0.026634,2844.532084
tube1, 21499, 21499, 459277, 2.382643, 49.346421, 0.027469,4280.307464
Emilia_923, 923137, 923137, 20964171, 1000000.000000, 0.005367, 1.055347,5085.367164
barrier2-12, 115626, 115626, 3897557, 0.000307, 3247964.051783, 0.318211,3135.573477
c-55, 32781, 32781, 218115, 5.478896, 10.191367, 0.022227,2512.122155
rgg_n_2_15_s0, 32769, 32769, 160240, 5.477670, 7.488848, 0.020419,2008.964135
af_5_k101, 503626, 503626, 9027150, 1000000.000000, 0.002311, 0.407232,5674.776071
af_2_k101, 503626, 503626, 9027150, 1000000.000000, 0.002311, 0.407878,5665.782758
gupta1, 31803, 31803, 1098006, 0.000259, 1084450.392895, 0.055683,5048.013192
onetone2, 36058, 36058, 227628, 6.627030, 8.793195, 0.023770,2451.566973
wiki-Talk, 2394386, 2394386, 5021410, 1000000.000000, 0.001285, 1.679344,765.466141
PFlow_742, 742794, 742794, 18940627, 1000000.000000, 0.004849, 1.157242,4189.963776
ak2010, 45293, 45293, 108549, 10.418867, 2.667137, 0.026467,1049.923786
af_1_k101, 503626, 503626, 9027150, 1000000.000000, 0.002311, 0.407408,5672.324563
lowThrust_7, 17379, 17379, 110607, 1.551443, 18.251001, 0.012634,2241.276713
gyro, 17362, 17362, 519260, 1.573475, 84.482147, 0.028266,4702.909311
TSOPF_FS_b162_c4, 40799, 40799, 1204322, 0.000282, 1094838.173267, 0.075002,4110.664875
pkustk03, 63337, 63337, 1596876, 0.000320, 1277500.832272, 0.105341,3880.739900
m_t1, 97579, 97579, 4925574, 0.000346, 3648573.327182, 0.293683,4293.561787
barrier2-4, 113077, 113077, 3805068, 0.000253, 3853233.532807, 0.310163,3140.596212
shipsec5, 179861, 179861, 5146478, 1000000.000000, 0.001317, 0.292602,4502.703767
olafu, 16147, 16147, 515651, 1.368189, 96.482780, 0.038227,3453.212745
crystm03, 24697, 24697, 304233, 3.123728, 24.932916, 0.026781,2908.189853
s3dkt3m2, 90450, 90450, 1921955, 0.000304, 1618488.368970, 0.090390,5443.282347
vsp_bcsstk30_500sep_10in_1Kout, 58349, 58349, 2016578, 0.000285, 1812654.361129, 0.173680,2972.385889
wathen120, 36442, 36442, 301101, 6.770195, 11.385471, 0.023162,3328.002134
SiO2, 155332, 155332, 5719417, 1000000.000000, 0.001464, 0.342608,4273.603526
c-51, 23197, 23197, 113123, 2.749405, 10.533003, 0.021126,1370.772497
c-70, 68925, 68925, 363955, 24.114407, 3.863768, 0.037226,2502.914051
a0nsdsil, 80017, 80017, 200021, 32.462517, 1.577369, 0.036698,1395.333128
cage15, 5154860, 5154860, 99199551, 1000000.000000, 0.025395, 10.399779,2441.886872
largebasis, 440021, 440021, 5560100, 1000000.000000, 0.001423, 0.451786,3150.577535
pct20stif, 52330, 52330, 1375396, 0.000310, 1134347.257914, 0.083024,4240.958894
turon_m, 189925, 189925, 912345, 182.725235, 1.278205, 0.116224,2009.570436
c-66, 49990, 49990, 274498, 12.706269, 5.530458, 0.027008,2601.876776
in-2004, 1382909, 1382909, 16917053, 1000000.000000, 0.004331, 1.169811,3702.106580
usroads-48, 126147, 126147, 161950, 80.615219, 0.514285, 0.047898,865.579883
bcsstk39, 46773, 46773, 1068033, 0.000230, 1186703.291359, 0.058723,4656.020975
eu-2005, 862665, 862665, 19235140, 1000000.000000, 0.004924, 1.200435,4102.009003
gridgena, 48963, 48963, 280523, 12.196249, 5.888194, 0.024298,2955.596005
CO, 221120, 221120, 3943588, 0.000182, 5534860.243419, 0.243904,4139.163566
tube2, 21499, 21499, 459277, 2.385056, 49.296501, 0.027712,4242.743738
NLR, 4163764, 4163764, 12487976, 1000000.000000, 0.003197, 3.440470,929.210656
F2, 71506, 71506, 2682895, 0.000166, 4127530.815748, 0.177510,3869.187959
af_shell7, 504856, 504856, 9046865, 1000000.000000, 0.002316, 0.412765,5610.937534
bcsstk32, 44610, 44610, 1029655, 0.000186, 1420213.757716, 0.054787,4811.190875
cond-mat-2003, 31164, 31164, 120029, 4.947408, 6.210813, 0.021917,1402.003165
pli, 22696, 22696, 686502, 2.670006, 65.821758, 0.044922,3912.249537
ship_001, 34921, 34921, 2339575, 0.000179, 3342249.954157, 0.139152,4304.150784
k3plates, 11108, 11108, 378927, 0.653008, 148.551495, 0.023376,4149.782354
boyd1, 93280, 93280, 652246, 44.092319, 3.786940, 0.087600,1906.107060
mouse_gene, 45102, 45102, 14506196, 1000000.000000, 0.003714, 1.029226,3608.136105
usroads, 129165, 129165, 165435, 84.507797, 0.501153, 0.049027,863.833979
ckt11752_dc_1, 49703, 49703, 333029, 12.565869, 6.784682, 0.029971,2844.578240
ex11, 16615, 16615, 1096948, 0.000214, 1309788.640021, 0.059926,4686.059499
barrier2-10, 115626, 115626, 3897557, 0.000330, 3027228.782262, 0.317901,3138.635039
c-68, 64811, 64811, 315408, 21.334248, 3.784734, 0.034925,2311.951674
struct3, 53571, 53571, 613632, 14.614451, 10.748935, 0.042339,3710.268328
mark3jac040sc, 18290, 18290, 113435, 1.716045, 16.922262, 0.021443,1354.245628
AS365, 3799276, 3799276, 11368076, 1000000.000000, 0.002910, 3.124544,931.408711
opt1, 15450, 15450, 973052, 1.286246, 193.665314, 0.056365,4419.448280
lhr71, 70305, 70305, 1528092, 0.000224, 1746390.810499, 0.136387,2868.242308
roadNet-PA, 1090921, 1090921, 3083788, 0.000221, 3575406.297474, 0.418381,1886.916790
c-52, 23949, 23949, 113332, 2.930698, 9.899688, 0.020333,1426.905896
cit-Patents, 3774769, 3774769, 16518948, 1000000.000000, 0.004229, 4.715037,896.886046
c-47, 15344, 15344, 113372, 1.209693, 23.992234, 0.019584,1481.986920
dielFilterV2clx, 607233, 607233, 12958252, 1000000.000000, 0.003317, 0.808602,4102.530386
e40r0100, 17282, 17282, 553562, 1.560368, 90.819521, 0.043440,3262.243889
inline_1, 503713, 503713, 18660027, 1000000.000000, 0.004777, 1.205706,3961.967783
pkustk09, 33961, 33961, 808800, 5.922733, 34.958997, 0.044800,4621.714143
vsp_model1_crew1_cr42_south31, 45102, 45102, 189976, 10.344231, 4.701544, 0.023021,2112.604998
msc10848, 10849, 10849, 620313, 0.642502, 247.158808, 0.039946,3975.409813
barrier2-2, 113077, 113077, 3805068, 0.000246, 3953317.558501, 0.310128,3140.952820
vsp_finan512_scagr7-2c_rlfddd, 139753, 139753, 552020, 98.939308, 1.428321, 0.066160,2135.990347
TSOPF_RS_b300_c2, 28339, 28339, 2943887, 0.000250, 3019371.386492, 0.185930,4053.335706
language, 399131, 399131, 1216334, 0.000211, 1474344.230909, 0.231859,1342.976662
blockqp1, 60013, 60013, 340022, 18.287409, 4.759867, 0.031379,2773.991520
H2O, 67025, 67025, 1141880, 0.000214, 1363438.788591, 0.078093,3743.255129
Ga19As19H42, 133124, 133124, 4508981, 0.000214, 5383857.841822, 0.267184,4320.240570
helm3d01, 32227, 32227, 230335, 5.301616, 11.122224, 0.021498,2742.899701
c-73b, 169423, 169423, 724348, 145.342957, 1.275831, 0.091837,2019.158895
juba40k, 40338, 40338, 144945, 8.275302, 4.483935, 0.020400,1818.917681
vsp_c-60_data_cti_cs4, 85831, 85831, 241080, 37.337029, 1.652956, 0.037421,1649.256014
pkustk04, 55591, 55591, 2137125, 0.000170, 3225849.071668, 0.137658,3974.382970
laminar_duct3D, 67174, 67174, 3833077, 0.000278, 3524668.491617, 0.235341,4169.560361
Andrews, 60001, 60001, 410077, 18.307360, 5.734290, 0.044800,2343.297071
bcsstm36, 23053, 23053, 166389, 2.709565, 15.720452, 0.020550,2072.737463
pdb1HYS, 36418, 36418, 2190591, 0.000214, 2615631.011436, 0.130074,4311.338483
pkustk14, 151927, 151927, 7494215, 1000000.000000, 0.001919, 0.455974,4207.514917
Si87H76, 240370, 240370, 5451000, 1000000.000000, 0.001395, 0.326787,4270.228330
engine, 143572, 143572, 2424822, 0.000176, 3527013.790634, 0.177200,3503.128937
ecology2, 1000000, 1000000, 2997995, 0.000170, 4525275.492830, 0.369776,2075.544920
mip1, 66464, 66464, 5209641, 1000000.000000, 0.001334, 0.305203,4369.771020
nd24k, 72001, 72001, 14393817, 1000000.000000, 0.003685, 0.886035,4158.770819
Zd_Jac3, 22836, 22836, 1916152, 0.000173, 2838743.698918, 0.128976,3803.303827
c-67b, 57976, 57976, 294955, 17.071079, 4.423182, 0.031034,2433.120280
TSOPF_RS_b2052_c1, 25627, 25627, 6761100, 1000000.000000, 0.001731, 0.391373,4422.488227
delaunay_n18, 262145, 262145, 786396, 347.836914, 0.578769, 0.115203,1747.498098
gupta3, 16784, 16784, 4670105, 0.000214, 5576244.705041, 0.334400,3575.199892
GaAsH6, 61350, 61350, 1721579, 0.000221, 1996033.578897, 0.100995,4363.813787
dblp-2010, 326187, 326187, 807700, 538.339966, 0.384090, 0.132122,1565.006797
dawson5, 51538, 51538, 531157, 13.527127, 10.052112, 0.038944,3491.582580
Geo_1438, 1437961, 1437961, 32297325, 1000000.000000, 0.008268, 1.589565,5201.496157
tmt_sym, 726714, 726714, 2903837, 0.000218, 3416278.763616, 0.284426,2613.626522
cnr-2000, 325558, 325558, 3216152, 0.000208, 3958340.912301, 0.253629,3246.220084
delaunay_n16, 65537, 65537, 196575, 21.809721, 2.307375, 0.029283,1718.500786
kron_g500-logn18, 262145, 262145, 10583222, 1000000.000000, 0.002709, 0.889674,3045.279514
af_shell3, 504856, 504856, 9046865, 1000000.000000, 0.002316, 0.411709,5625.329188
lowThrust_8, 17703, 17703, 113139, 1.608736, 18.003938, 0.012771,2267.882799
Zd_Jac6, 22836, 22836, 1711983, 0.000317, 1383420.646092, 0.116026,3777.335669
Hamrle3, 1447361, 1447361, 5514242, 1000000.000000, 0.001412, 1.215645,1161.232220
Cube_Coup_dt0, 2164761, 2164761, 64685452, 1000000.000000, 0.016559, 4.030282,4108.764096
std1_Jac2, 21983, 21983, 1248731, 0.000176, 1816335.985814, 0.080611,3965.641740
crystm02, 13966, 13966, 168435, 1.011440, 42.631654, 0.015616,2761.229561
foldoc, 13357, 13357, 120238, 0.923658, 33.325041, 0.019965,1541.759953
bundle1, 10582, 10582, 390741, 0.590246, 169.471084, 0.021488,4655.142121
patents, 3774769, 3774769, 14970767, 1000000.000000, 0.003833, 4.398029,871.416809
ted_AB_unscaled, 10606, 10606, 522387, 0.604170, 221.346904, 0.038960,3432.522305
wathen100, 30402, 30402, 251001, 4.722409, 13.606668, 0.020717,3101.649706
c-62ghs, 41732, 41732, 300537, 8.866848, 8.676981, 0.027267,2821.612512
delaunay_n21, 2097153, 2097153, 6291408, 1000000.000000, 0.001611, 0.883395,1823.193580
mult_dcop_02, 25188, 25188, 193276, 3.243497, 15.254723, 0.024093,2053.669859
bcsstk36, 23053, 23053, 583096, 2.741194, 54.455321, 0.033226,4492.697823
333SP, 3712816, 3712816, 11108633, 1000000.000000, 0.002844, 2.426307,1172.073412
TSOPF_RS_b300_c1, 14539, 14539, 1474325, 0.000218, 1734499.969581, 0.088579,4260.900897
Long_Coup_dt0, 1470153, 1470153, 44279572, 1000000.000000, 0.011336, 2.809805,4034.291183
lp1, 534389, 534389, 1088904, 0.000256, 1088904.027508, 0.192272,1449.818125
denormal, 89401, 89401, 622812, 40.544418, 3.932474, 0.051366,3103.972047
c-56, 35911, 35911, 208405, 6.572196, 8.117787, 0.021971,2428.255125
wikipedia-20051105, 1634990, 1634990, 19753078, 1000000.000000, 0.005057, 3.152618,1603.996595
bcsstk30, 28925, 28925, 1036208, 0.000310, 854604.567287, 0.057482,4614.855072
astro-ph, 16707, 16707, 121251, 1.435021, 21.630526, 0.020502,1513.981553
conf5_4-8x8-10, 49153, 49153, 1916928, 0.000253, 1941192.969370, 0.128717,3812.505890
kron_g500-logn16, 65537, 65537, 2456398, 0.000326, 1926586.701593, 0.179584,3501.636445
af_shell9, 504856, 504856, 9046865, 1000000.000000, 0.002316, 0.412566,5613.635305
fullb, 199188, 199188, 5953632, 1000000.000000, 0.001524, 0.382026,3989.601205
c-big, 345242, 345242, 1343126, 0.000214, 1603732.516871, 0.199584,1722.784712
3dtube, 45331, 45331, 1629474, 0.000320, 1303579.232931, 0.096768,4310.777878
bcsstk37, 25504, 25504, 583240, 3.343597, 44.655338, 0.033021,4521.678409
pkustk08, 22210, 22210, 1624440, 0.000240, 1732735.917699, 0.097005,4286.969671
TSOPF_FS_b39_c19, 76217, 76217, 998359, 29.509686, 8.660882, 0.076749,3330.083377
af_shell5, 504856, 504856, 9046865, 1000000.000000, 0.002316, 0.413363,5602.814516
crankseg_1, 52805, 52805, 5333507, 1000000.000000, 0.001365, 0.324061,4213.338367
bbmat, 38745, 38745, 1771722, 0.000272, 1667503.065264, 0.100726,4502.899179
t3dh, 79172, 79172, 2215638, 0.000246, 2301961.649222, 0.139709,4059.896781
x104, 108385, 108385, 5138004, 1000000.000000, 0.001315, 0.311610,4221.079889
c-73, 169423, 169423, 724348, 145.352448, 1.275748, 0.089773,2065.582032
shipsec1, 140875, 140875, 3977139, 0.000307, 3314282.382771, 0.232202,4384.756968
Trefethen_20000, 20001, 20001, 287233, 2.059005, 35.712228, 0.025312,2905.011319
net4-1, 88344, 88344, 1265035, 0.000234, 1386339.671234, 0.111366,2907.959232
copter1, 17223, 17223, 114143, 1.525101, 19.159788, 0.012659,2308.250843
pkustk01, 22045, 22045, 500712, 2.509446, 51.079902, 0.028307,4528.256923
Freescale1, 3428756, 3428756, 18920347, 1000000.000000, 0.004844, 3.255165,1487.976570
ramage02, 16831, 16831, 1441591, 0.000198, 1860117.444516, 0.090157,4093.393929
circuit_4, 80210, 80210, 307604, 32.633850, 2.413035, 0.043523,1809.302201
s4dkt3m2, 90450, 90450, 1921955, 0.000250, 1971235.965621, 0.090186,5455.643442
c-71, 76639, 76639, 468096, 29.804325, 4.020644, 0.046851,2557.726939
finance256, 37377, 37377, 167936, 7.113325, 6.043815, 0.018605,2310.780861
kron_g500-logn20, 1048577, 1048577, 44620272, 1000000.000000, 0.011423, 5.319625,2147.292077
nd12k, 36001, 36001, 7128473, 1000000.000000, 0.001825, 0.436099,4184.573388
3D_51448_3D, 51449, 51449, 1056610, 0.000298, 908911.804697, 0.059290,4562.219462
Cube_Coup_dt6, 2164761, 2164761, 64685452, 1000000.000000, 0.016559, 4.031978,4107.035782
ex19, 12006, 12006, 259879, 0.754147, 88.217558, 0.023293,2856.205609
conf5_4-8x8-05, 49153, 49153, 1916928, 0.000259, 1893262.261547, 0.128915,3806.638457
nasasrb, 54871, 54871, 1366097, 0.000230, 1517885.501867, 0.068701,5090.491234
email-Enron, 36693, 36693, 367654, 6.861735, 13.716564, 0.029603,3179.366431
wy2010, 86205, 86205, 213793, 37.676830, 1.452644, 0.042813,1278.379538
lowThrust_12, 18459, 18459, 117423, 1.746438, 17.212338, 0.012902,2329.821447
NotreDame_www, 325730, 325730, 929849, 536.819092, 0.443429, 0.142534,1670.062424
filter3D, 106438, 106438, 1406808, 0.000227, 1585135.725349, 0.087584,4111.970732
lowThrust_5, 16263, 16263, 103701, 1.360419, 19.514174, 0.012822,2070.396800
net100, 29921, 29921, 1031560, 0.000310, 850771.165085, 0.076950,3431.812653
CoupCons3D, 416801, 416801, 22322336, 1000000.000000, 0.005715, 1.347270,4241.552434
barrier2-3, 113077, 113077, 3805068, 0.000301, 3238355.651026, 0.310320,3139.009477
raefsky3, 21201, 21201, 1488768, 0.000272, 1401193.417176, 0.088691,4297.208889
vsp_bump2_e18_aa01_model1_crew1, 56439, 56439, 300801, 16.181002, 4.758980, 0.032685,2355.989816
Ge99H100, 112986, 112986, 4282190, 0.000288, 3806391.053407, 0.258077,4247.730110
net50, 16321, 16321, 480760, 1.387430, 88.706836, 0.037392,3291.467750
vsp_sctap1-2b_and_seymourl, 40175, 40175, 140831, 8.206845, 4.393008, 0.022333,1614.340204
nv2010, 84539, 84539, 208499, 36.233330, 1.473112, 0.040979,1302.508180
af_shell1, 504856, 504856, 9046865, 1000000.000000, 0.002316, 0.412995,5607.807224
