dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,rode,ours_gflops
windscreen, 22693, 22693, 752541, 2.689606, 71.627763, 0.047114,4089.063338
mario002, 389875, 389875, 1167685, 0.000211, 1415375.746521, 0.268058,1115.160885
af_3_k101, 503626, 503626, 9027150, 1000000.000000, 0.002311, 0.408573,5656.153089
TSOPF_RS_b2383, 38121, 38121, 16171169, 1000000.000000, 0.004140, 0.943309,4388.614981
lowThrust_9, 18045, 18045, 114806, 1.669219, 17.607236, 0.012861,2285.264933
c-64b, 51036, 51036, 384438, 13.241226, 7.432554, 0.034909,2819.235387
soc-sign-Slashdot090221, 82145, 82145, 549202, 34.215340, 4.109142, 0.056288,2497.792018
ted_A, 10606, 10606, 424587, 0.600272, 181.075036, 0.034909,3113.663830
mark3jac060sc, 27450, 27450, 170695, 3.848685, 11.353988, 0.022349,1955.269160
m14b, 214766, 214766, 1679018, 0.000288, 1492460.421819, 0.177923,2415.809753
EAT_RS, 23220, 23220, 325592, 2.764358, 30.152224, 0.028800,2894.151236
vsp_mod2_pgp2_slptsk, 101365, 101365, 389368, 52.088715, 1.913624, 0.052102,1913.121280
ins2, 309413, 309413, 1530448, 0.000211, 1855088.470359, 0.353526,1108.247323
af_shell4, 504856, 504856, 9046865, 1000000.000000, 0.002316, 0.411958,5621.920546
debr, 1048577, 1048577, 2097149, 0.000214, 2504058.475544, 0.707120,759.234857
smallworld, 100001, 100001, 499998, 50.788319, 2.520255, 0.051053,2507.198057
lowThrust_10, 18261, 18261, 116074, 1.711239, 17.364584, 0.013696,2169.607480
igbt3, 10939, 10939, 234006, 0.624608, 95.909013, 0.022669,2642.642603
Ga10As10H30, 113082, 113082, 3114357, 0.000253, 3153779.334701, 0.185395,4300.409991
ca-AstroPh, 18773, 18773, 198110, 1.807270, 28.062297, 0.023792,2131.647602
af_4_k101, 503626, 503626, 9027150, 1000000.000000, 0.002311, 0.408109,5662.584004
TSOPF_FS_b300_c1, 29215, 29215, 2203949, 0.000218, 2592881.130998, 0.124531,4530.679501
vanbody, 47073, 47073, 1191985, 0.000285, 1071447.178661, 0.065066,4689.854041
p2p-Gnutella31, 62587, 62587, 147892, 19.849417, 1.907379, 0.031984,1183.727812
BenElechi1, 245875, 245875, 6698185, 1000000.000000, 0.001715, 0.334656,5123.874544
dc3, 116836, 116836, 766396, 69.218185, 2.834477, 0.074074,2648.681500
rajat15, 37262, 37262, 443573, 7.084502, 16.028605, 0.032205,3526.017396
Flan_1565, 1564795, 1564795, 59485419, 1000000.000000, 0.015228, 3.578243,4255.794304
vsp_south31_slptsk, 39669, 39669, 189914, 8.005343, 6.073191, 0.021840,2226.098153
delaunay_n19, 524289, 524289, 1572823, 0.000218, 1850379.967549, 0.224614,1792.595123
sparsine, 50001, 50001, 799494, 12.749030, 16.053806, 0.067398,3036.725897
c-64, 51036, 51036, 384438, 13.235066, 7.436013, 0.030522,3224.474581
bcsstk25, 15440, 15440, 133840, 1.229907, 27.858231, 0.014006,2446.241699
bundle_adj, 513352, 513352, 10360701, 1000000.000000, 0.002652, 0.510982,5190.666767
gyro_m, 17362, 17362, 178896, 1.550560, 29.536023, 0.018138,2524.996537
bcsstk35, 30238, 30238, 740200, 4.693210, 40.375611, 0.038109,4972.373983
case39, 40217, 40217, 526139, 8.236269, 16.353471, 0.043130,3122.950058
bcsstk31, 35589, 35589, 608502, 6.479904, 24.039941, 0.035898,4339.468632
Chebyshev4, 68122, 68122, 5377761, 1000000.000000, 0.001377, 0.387914,3549.003659
kron_g500-logn19, 524289, 524289, 21781478, 1000000.000000, 0.005576, 2.161923,2579.212029
enron, 69245, 69245, 276143, 24.276531, 2.911973, 0.036650,1928.878041
af_shell8, 504856, 504856, 9046865, 1000000.000000, 0.002316, 0.411942,5622.139200
rma10, 46836, 46836, 2374001, 0.000208, 2921847.376661, 0.143830,4225.422986
PR02R, 161071, 161071, 8185136, 1000000.000000, 0.002095, 0.531654,3941.272364
ecology1, 1000001, 1000001, 2998000, 0.000208, 3689846.143801, 0.369363,2077.868135
pkustk07, 16861, 16861, 1217832, 0.000211, 1476159.988471, 0.077104,4043.434620
c-58, 37596, 37596, 295076, 7.194441, 10.499697, 0.031459,2401.188049
smt, 25711, 25711, 1889447, 0.000234, 2070626.767476, 0.109408,4421.051885
as-Skitter, 1696416, 1696416, 11095298, 1000000.000000, 0.002840, 1.312083,2164.798842
TSOPF_RS_b678_c2, 35697, 35697, 8781949, 1000000.000000, 0.002248, 0.619722,3627.724016
HV15R, 2017170, 2017170, 283073458, 1000000.000000, 0.072467, 17.170425,4220.443204
li, 22696, 22696, 1350309, 0.000211, 1636738.169035, 0.085645,4036.194914
Trefethen_20000b, 20000, 20000, 287217, 2.054982, 35.780138, 0.024899,2953.008658
belgium_osm, 1441296, 1441296, 1549970, 0.000218, 1823494.085667, 0.488336,812.539578
pcrystk03, 24697, 24697, 887937, 3.167891, 71.754951, 0.054320,4184.680878
TSOPF_RS_b2383_c1, 38121, 38121, 16171169, 1000000.000000, 0.004140, 0.941382,4397.595736
net150, 43521, 43521, 1582360, 0.000221, 1834620.249145, 0.115347,3511.868331
ASIC_680k, 682863, 682863, 3871773, 0.000253, 3920782.901913, 0.614429,1613.163116
Long_Coup_dt6, 1470153, 1470153, 44279572, 1000000.000000, 0.011336, 2.809830,4034.254213
c-53, 30236, 30236, 201224, 4.659949, 11.054487, 0.021443,2402.316060
TSOPF_FS_b39_c7, 28217, 28217, 368599, 4.066560, 23.204218, 0.023597,3998.904364
barrier2-1, 113077, 113077, 3805068, 0.000243, 4005334.914717, 0.310214,3140.077982
crystk03, 24697, 24697, 887937, 3.166762, 71.780545, 0.053878,4218.979416
conf6_0-8x8-20, 49153, 49153, 1916928, 0.000205, 2396160.006050, 0.128406,3821.721870
Pres_Poisson, 14823, 14823, 365313, 1.147610, 81.491238, 0.022736,4113.306208
lhr34, 35153, 35153, 764014, 6.319593, 30.949394, 0.054438,3592.823871
crystk02, 13966, 13966, 491274, 1.033376, 121.704143, 0.038186,3293.549030
TSOPF_RS_b39_c19, 38099, 38099, 684206, 7.400973, 23.666718, 0.052765,3319.575650
bmwcra_1, 148771, 148771, 5396386, 1000000.000000, 0.001381, 0.319808,4319.700535
pwtk, 217919, 217919, 5926171, 1000000.000000, 0.001517, 0.305379,4967.921116
HTC_336_4438, 226341, 226341, 565431, 259.329651, 0.558171, 0.130013,1113.354515
G3_circuit, 1585479, 1585479, 4623152, 0.000218, 5439002.257554, 0.658704,1796.750773
Ge87H76, 112986, 112986, 4002590, 0.000301, 3406459.475951, 0.240547,4259.717107
boneS01, 127225, 127225, 3421188, 0.000218, 4024926.988236, 0.217654,4023.921169
hugetric-00000, 5824555, 5824555, 8733523, 1000000.000000, 0.002236, 2.692502,830.373219
bmw3_2, 227363, 227363, 5757996, 1000000.000000, 0.001474, 0.348797,4226.090920
ct2010, 67579, 67579, 168176, 23.165091, 1.858532, 0.033155,1298.531034
