dataSet,num_nodes,num_edges,sputnik,rode,tcgnn
Chebyshev4,68122,5377761,23.410404,0.143734,10000000.0
circuit_4,80210,307604,32.422844,0.036096,13.9709
circuit5M,5558327,59524291,0.000595,4.490649,10000000.0
circuit5M_dc,3523318,19194193,0.000608,1.303306,10000000.0
citationCiteseer,268496,1156647,362.933624,0.106253,1.5726
cit-Patents,3774769,16518948,0.000678,1.495498,10000000.0
ckt11752_dc_1,49703,333029,12.468081,0.030595,4.036
ckt11752_tr_0,49703,333029,12.468105,0.030669,4.0296
cnr-2000,325558,3216152,533.569824,0.257238,3.6707
CO,221120,3943588,246.211227,0.18321,1.2996
coAuthorsCiteseer,227321,814134,260.169861,0.079971,0.2212
coAuthorsDBLP,299068,977676,450.243469,0.100819,0.3032
cond-mat-2003,31164,120029,4.906653,0.019296,0.1253
cond-mat-2005,40422,175693,8.251085,0.023894,0.1573
conf5_4-8x8-05,49153,1916928,12.234269,0.17703,0.3163
conf5_4-8x8-10,49153,1916928,12.234925,0.177242,0.3151
conf5_4-8x8-15,49153,1916928,12.23506,0.177107,0.3164
conf5_4-8x8-20,49153,1916928,12.234448,0.177299,0.3159
conf6_0-8x8-20,49153,1916928,12.234278,0.177149,0.3123
conf6_0-8x8-30,49153,1916928,12.234352,0.177174,0.3133
conf6_0-8x8-80,49153,1916928,12.240118,0.178979,0.3108
consph,83335,3046907,35.076794,0.266074,0.4665
cont-201,80596,239596,32.734692,0.024442,0.1001
cont-300,180896,539396,164.758453,0.067952,0.2026
coPapersCiteseer,434103,16036720,948.913452,0.857552,10000000.0
coPapersDBLP,540487,15245729,1470.794678,0.942634,10000000.0
copter1,17223,114143,1.507974,0.013184,0.0702
CoupCons3D,416801,22322336,875.143433,1.622755,10000000.0
crankseg_1,52805,5333507,14.200195,0.236477,10000000.0
crankseg_2,63839,7106348,20.722,0.296922,10000000.0
crplat2,18011,489478,1.651427,0.031578,0.1368
crystk02,13966,491274,1.002432,0.045568,0.1487
