dataSet,num_nodes,num_edges,sputnik,rode,tcgnn
windscreen,22693,752541,2.689606,0.047114,0.3929
mario002,389875,1167685,0.000211,0.268058,10000000.0
af_3_k101,503626,9027150,1000000.0,0.408573,10000000.0
TSOPF_RS_b2383,38121,16171169,1000000.0,0.943309,10000000.0
lowThrust_9,18045,114806,1.669219,0.012861,0.3869
c-64b,51036,384438,13.241226,0.034909,0.6533
soc-sign-Slashdot090221,82145,549202,34.21534,0.056288,3.7873
ted_A,10606,424587,0.600272,0.034909,0.461
mark3jac060sc,27450,170695,3.848685,0.022349,0.4239
m14b,214766,1679018,0.000288,0.177923,10000000.0
EAT_RS,23220,325592,2.764358,0.0288,3.236
vsp_mod2_pgp2_slptsk,101365,389368,52.088715,0.052102,2.4398
ins2,309413,1530448,0.000211,0.353526,10000000.0
af_shell4,504856,9046865,1000000.0,0.411958,10000000.0
debr,1048577,2097149,0.000214,0.70712,10000000.0
smallworld,100001,499998,50.788319,0.051053,0.3321
lowThrust_10,18261,116074,1.711239,0.013696,0.4185
igbt3,10939,234006,0.624608,0.022669,0.7341
Ga10As10H30,113082,3114357,0.000253,0.185395,10000000.0
ca-AstroPh,18773,198110,1.80727,0.023792,2.1356
af_4_k101,503626,9027150,1000000.0,0.408109,10000000.0
TSOPF_FS_b300_c1,29215,2203949,0.000218,0.124531,10000000.0
vanbody,47073,1191985,0.000285,0.065066,10000000.0
p2p-Gnutella31,62587,147892,19.849417,0.031984,0.3679
BenElechi1,245875,6698185,1000000.0,0.334656,10000000.0
dc3,116836,766396,69.218185,0.074074,8002.4307
rajat15,37262,443573,7.084502,0.032205,7.8361
Flan_1565,1564795,59485419,1000000.0,3.578243,10000000.0
vsp_south31_slptsk,39669,189914,8.005343,0.02184,0.5449
delaunay_n19,524289,1572823,0.000218,0.224614,10000000.0
sparsine,50001,799494,12.74903,0.067398,1.4784
c-64,51036,384438,13.235066,0.030522,0.6397
bcsstk25,15440,133840,1.229907,0.014006,0.1893
bundle_adj,513352,10360701,1000000.0,0.510982,10000000.0
gyro_m,17362,178896,1.55056,0.018138,0.525
bcsstk35,30238,740200,4.69321,0.038109,0.5966
case39,40217,526139,8.236269,0.04313,0.2874
bcsstk31,35589,608502,6.479904,0.035898,0.4325
Chebyshev4,68122,5377761,1000000.0,0.387914,10000000.0
kron_g500-logn19,524289,21781478,1000000.0,2.161923,10000000.0
enron,69245,276143,24.276531,0.03665,6.094
af_shell8,504856,9046865,1000000.0,0.411942,10000000.0
rma10,46836,2374001,0.000208,0.14383,10000000.0
PR02R,161071,8185136,1000000.0,0.531654,10000000.0
ecology1,1000001,2998000,0.000208,0.369363,10000000.0
pkustk07,16861,1217832,0.000211,0.077104,10000000.0
c-58,37596,295076,7.194441,0.031459,14.0133
smt,25711,1889447,0.000234,0.109408,10000000.0
as-Skitter,1696416,11095298,1000000.0,1.312083,10000000.0
TSOPF_RS_b678_c2,35697,8781949,1000000.0,0.619722,10000000.0
HV15R,2017170,283073458,1000000.0,17.170425,10000000.0
li,22696,1350309,0.000211,0.085645,10000000.0
Trefethen_20000b,20000,287217,2.054982,0.024899,0.5182
