dataSet,num_nodes,num_edges,sputnik,cusparse,rode,gespmm,advisor,tcgnn,dtc
bcsstk39,46773,1068033,0.287878,0.193494,0.110858,0.2105,0.319,0.1371,0.2374720126390457
bcsstm36,23053,166389,0.076374,0.055376,0.031696,0.0382,0.068,0.0473,0.1201215982437133
belgium_osm,1441296,1549970,4.944074,2.476224,1.869619,2.8286,3.7953,1.1035,5.636528015136719
BenElechi1,245875,6698185,2.113917,0.960896,0.72623,1.2779,1.6685,10000000.0,1.2132480144500732
blockqp1,60013,340022,1.845302,0.14991,0.09057,0.1267,0.2592,162.5743,0.2783359885215759
bloweya,30005,80005,0.439715,0.070403,0.059114,0.0569,0.1164,6.0271,0.1936319917440414
bloweybl,30004,70001,0.43689,0.070349,0.056125,0.065,0.1156,6.0502,0.2038847953081131
bmw3_2,227363,5757996,1.695754,0.878022,0.773418,1.1871,1.7122,10000000.0,1.1808863878250122
bmw7st_1,141348,3740507,0.977437,0.577818,0.499066,0.7672,1.0983,0.6631,0.801740825176239
bmwcra_1,148771,5396386,1.194688,0.793373,0.712627,1.0401,1.4138,10000000.0,0.9217503666877748
bone010,986704,36326514,8.096032,5.192275,5.622877,6.8785,9.5791,10000000.0,5.7078399658203125
boneS01,127225,3421188,0.892106,0.53049,0.491862,0.6918,0.9716,0.4176,0.7370944023132324
boneS10,914899,28191660,9.725139,4.044169,4.14776,5.5738,7.5728,10000000.0,5.0272321701049805
boyd1,93280,652246,5.213363,0.395856,0.316157,0.3377,0.7559,3708.2683,0.4810239672660827
boyd2,466317,890091,1.917334,0.95945,0.711318,1.0185,1.3996,103.5664,1.8856384754180908
brack2,62632,366559,0.24673,0.161667,0.100157,0.1408,0.2399,0.1745,0.3116928040981293
brainpc2,27608,96601,0.077616,0.058118,0.030243,0.051,0.0814,0.0324,0.1889279931783676
bratu3d,27793,88627,0.082144,0.073674,0.036832,0.0399,0.045,0.0512,0.182585597038269
Bump_2911,2911420,65320659,26.092346,10.704842,6.269629,13.9834,17.1329,10000000.0,15.37712287902832
bundle1,10582,390741,0.061389,0.066202,0.039482,0.0665,0.1105,0.1106,0.1104032024741172
bundle_adj,513352,10360701,2.868445,1.442384,1.260115,2.0154,2.7571,10000000.0,2.1708223819732666
c-42,10472,60378,0.046493,0.035312,0.024899,0.0256,0.051,0.2114,0.1144767999649047
c-43,11126,67400,0.036944,0.036957,0.01615,0.0273,0.0436,0.0662,0.1143807992339134
c-45,13207,93829,0.043603,0.040074,0.018672,0.0321,0.0459,0.0286,0.128572791814804
c-46,14914,72655,0.046906,0.043264,0.019501,0.0337,0.0527,0.0559,0.1309183984994888
c-47,15344,113372,0.059786,0.04631,0.030358,0.0366,0.0621,0.1694,0.1383903920650482
c-48,18355,92217,0.073699,0.057648,0.037571,0.0423,0.0798,0.256,0.1825824081897735
c-49,21133,89087,0.09697,0.059296,0.046589,0.0498,0.0918,0.4466,0.1928096115589141
c-50,22402,108013,0.098829,0.061472,0.048752,0.0547,0.0958,0.4465,0.1969791948795318
c-51,23197,113123,0.10697,0.066989,0.051834,0.0576,0.1033,0.4654,0.1970079988241195
c-52,23949,113332,0.10855,0.067926,0.050291,0.0601,0.1067,0.5163,0.2025727927684784
c-53,30236,201224,0.109667,0.083341,0.046899,0.0754,0.1313,0.1338,0.1822240054607391
c-54,31794,211743,0.142205,0.086496,0.057683,0.0776,0.1432,0.5527,0.1858559995889663
c-55,32781,218115,0.177363,0.091648,0.06809,0.0812,0.1664,1.0535,0.2297440022230148
c-56,35911,208405,0.13735,0.09256,0.061485,0.083,0.154,0.4715,0.2206335961818695
c-57,37834,221515,0.1284,0.09489,0.055696,0.0867,0.1459,0.0838,0.1983712017536163
