dataSet,num_nodes,num_edges,sputnik,cusparse,rode,gespmm,advisor,tcgnn,dtc
144,144650,1074393,0.339536,0.220061,0.125037,0.1936,0.3229,10000000.0,0.464076817035675
2D_27628_bjtcai,27629,442898,0.063859,0.05793,0.028006,0.047,0.0822,0.1095,0.1113504022359848
2D_54019_highK,54020,996414,0.155229,0.111014,0.065299,0.118,0.197,0.7692,0.1867967993021011
333SP,3712816,11108633,7.223408,4.516704,3.223059,4.6655,6.9561,10000000.0,8.333436965942383
3D_28984_Tetra,28985,599170,0.18007,0.070246,0.048298,0.0633,0.1175,3.8178,0.122966393828392
3D_51448_3D,51449,1056610,0.319792,0.113891,0.073203,0.1253,0.2085,10000000.0,0.1824255883693695
3Dspectralwave,680944,17165766,3.846464,1.431078,1.187933,1.9126,2.8836,10000000.0,2.7256672382354736
3Dspectralwave2,292009,7307376,1.453482,0.755507,0.510806,0.8161,1.2366,10000000.0,1.189331293106079
3dtube,45331,1629474,0.219443,0.395594,0.12496,0.1599,0.2806,10000000.0,0.1837183982133865
598a,110972,741934,0.241062,0.191738,0.095392,0.1552,0.2491,0.3759,0.4021344184875488
a0nsdsil,80017,200021,0.3416,0.09672,0.066541,0.0739,0.1336,6.2993,0.2095007896423339
a2nnsnsl,80017,196115,0.343379,0.097277,0.066957,0.0735,0.1318,6.3029,0.2107423990964889
a5esindl,60009,145004,0.28,0.072253,0.052957,0.0567,0.095,2.2257,0.188003197312355
af_0_k101,503626,9027150,2.291725,0.768112,0.47047,0.9531,1.6289,10000000.0,1.2212767601013184
af_1_k101,503626,9027150,2.290477,0.768813,0.469981,0.9524,1.6306,10000000.0,1.224745512008667
af_2_k101,503626,9027150,2.292272,0.776736,0.47072,0.9523,1.6308,10000000.0,1.2238752841949463
af_3_k101,503626,9027150,2.292752,0.766819,0.471027,0.9524,1.6313,10000000.0,1.225609540939331
af_4_k101,503626,9027150,2.291594,0.768333,0.470746,0.9529,1.6318,10000000.0,1.222150444984436
af_5_k101,503626,9027150,2.292051,0.768506,0.470966,0.9532,1.6301,10000000.0,1.2205984592437744
af_shell1,504856,9046865,2.347382,0.746774,0.472467,0.9535,1.6446,10000000.0,1.2048799991607666
af_shell10,1508066,27090195,7.537011,2.15447,1.388573,2.8485,4.7344,10000000.0,3.5443968772888184
af_shell2,504856,9046865,2.352499,0.745069,0.474771,0.9549,1.6452,10000000.0,1.2032448053359983
af_shell3,504856,9046865,2.351555,0.746362,0.476682,0.9531,1.6444,10000000.0,1.206985592842102
af_shell4,504856,9046865,2.35343,0.745875,0.475293,0.9543,1.6436,10000000.0,1.211942434310913
af_shell5,504856,9046865,2.348829,0.814086,0.472403,0.9539,1.6443,10000000.0,1.2056256532669067
af_shell6,504856,9046865,2.347459,0.746666,0.47247,0.9542,1.6423,10000000.0,1.2027008533477783
af_shell7,504856,9046865,2.348042,0.747638,0.47239,0.9531,1.6448,10000000.0,1.2122783660888672
af_shell8,504856,9046865,2.348246,0.74583,0.472227,0.9535,1.6436,10000000.0,1.201865553855896
af_shell9,504856,9046865,2.347696,0.74495,0.471456,0.9534,1.6438,10000000.0,1.2031904458999634
ak2010,45293,108549,0.070291,0.055539,0.036973,0.0262,0.068,0.1613,0.1597727984189987
amazon0505,410236,4878874,1.398739,0.971264,0.672704,0.9104,1.3355,10000000.0,1.5813119411468506
amazon0505,410236,4878874,1.398739,0.971264,0.672704,0.9104,1.3355,10000000.0,1.5811840295791626
amazon0505,410236,4878874,1.398739,0.971264,0.672704,0.9121,1.3389,10000000.0,1.5813119411468506
amazon0505,410236,4878874,1.398739,0.971264,0.672704,0.9121,1.3389,10000000.0,1.5811840295791626
Andrews,60001,410077,0.127098,0.104899,0.054714,0.0789,0.1424,0.2322,0.2136928141117096
AS365,3799276,11368076,7.668301,4.933302,3.759686,5.2512,7.258,10000000.0,8.807705879211426
as-caida,31380,106762,0.145658,0.042278,0.03832,0.0223,0.0492,1.1395,0.123462401330471
as-Skitter,1696416,11095298,3.726467,1.88873,1.485152,2.1392,3.743,10000000.0,3.981046199798584
astro-ph,16707,121251,0.030614,0.032102,0.015014,0.0239,0.0416,0.0689,0.1176095977425575
auto,448696,3314611,1.194051,0.766326,0.445923,0.6536,1.0369,10000000.0,1.4010560512542725
barrier2-1,113077,3805068,0.592678,0.368285,0.314365,0.4486,0.667,10000000.0,0.7327743768692017
barrier2-10,115626,3897557,0.682346,0.374621,0.322746,0.46,0.6839,10000000.0,0.7984064221382141
barrier2-11,115626,3897557,0.682621,0.374374,0.322899,0.4598,0.683,10000000.0,0.7984223961830139
barrier2-12,115626,3897557,0.684762,0.476749,0.323094,0.4596,0.6833,10000000.0,0.7990816235542297
barrier2-2,113077,3805068,0.599325,0.367843,0.314589,0.4487,0.6669,10000000.0,0.7328447699546814
barrier2-3,113077,3805068,0.600931,0.36688,0.315526,0.4485,0.6673,10000000.0,0.7330144047737122
barrier2-4,113077,3805068,0.597008,0.367782,0.314202,0.4483,0.6669,10000000.0,0.7320128083229065
barrier2-9,115626,3897557,0.688013,0.376925,0.325056,0.4603,0.6832,10000000.0,0.7987167835235596
bauru5727,40367,145019,0.067805,0.055494,0.032083,0.0369,0.0789,0.0801,0.1628479957580566
bbmat,38745,1771722,0.161549,0.1472,0.086928,0.1694,0.2846,10000000.0,0.1670528054237365
bcsstk17,10975,219812,0.031968,0.03521,0.017994,0.0253,0.0476,0.0503,0.0871104001998901
bcsstk18,11949,80519,0.025219,0.028294,0.012659,0.0175,0.0292,0.0369,0.0872095972299575
bcsstk25,15440,133840,0.032355,0.03329,0.013683,0.0224,0.0357,0.0395,0.0838112011551857
bcsstk29,13993,316740,0.041056,0.041914,0.019798,0.0345,0.0622,0.0565,0.0999680012464523
bcsstk30,28925,1036208,0.110259,0.09399,0.057674,0.0993,0.1725,10000000.0,0.1149791926145553
bcsstk31,35589,608502,0.092624,0.072867,0.038122,0.0673,0.1248,0.104,0.1281311959028244
bcsstk32,44610,1029655,0.140058,0.101299,0.057962,0.1082,0.1877,10000000.0,0.1681120097637176
bcsstk35,30238,740200,0.08977,0.074115,0.037619,0.0735,0.1255,0.1238,0.1152832061052322
bcsstk36,23053,583096,0.068291,0.059798,0.029562,0.0572,0.0989,0.0863,0.0964960008859634
bcsstk37,25504,583240,0.070192,0.061997,0.031264,0.0572,0.0989,0.0834,0.1000864058732986
bcsstk39,46773,1068033,0.149347,0.105011,0.057866,0.1101,0.1918,10000000.0,0.1717471927404403
bcsstm36,23053,166389,0.03824,0.035674,0.017654,0.0235,0.0429,0.0446,0.0912096053361892
belgium_osm,1441296,1549970,2.498144,1.242931,0.931498,1.4307,2.0806,10000000.0,2.9091968536376958
BenElechi1,245875,6698185,1.066806,0.505933,0.365027,0.6482,1.0088,10000000.0,0.6650496125221252
blockqp1,60013,340022,1.724675,0.081648,0.058979,0.0696,0.1413,121.5419,0.1904736012220382
bloweya,30005,80005,0.291632,0.034976,0.035693,0.0176,0.0606,5.8782,0.120748795568943
bloweybl,30004,70001,0.293443,0.03808,0.035904,0.0241,0.06,5.8559,0.1217695921659469
bmw3_2,227363,5757996,0.85488,0.464906,0.388538,0.6065,1.0112,10000000.0,0.6277791857719421
bmw7st_1,141348,3740507,0.499517,0.314029,0.254403,0.3932,0.6516,10000000.0,0.4787487983703613
bmwcra_1,148771,5396386,0.604333,0.416445,0.357565,0.5309,0.864,10000000.0,0.4860607981681824
bone010,986704,36326514,4.078419,2.614583,2.739321,3.4374,5.8173,10000000.0,2.991827249526977
boneS01,127225,3421188,0.461622,0.289194,0.249222,0.355,0.5907,10000000.0,0.4469056129455566
boneS10,914899,28191660,4.903613,2.05313,2.054093,2.8014,4.631,10000000.0,2.642134428024292
boyd1,93280,652246,4.654205,0.228186,0.114304,0.2081,0.4453,3723.5645,0.2818880081176758
boyd2,466317,890091,1.121194,0.493917,0.359203,0.5159,0.7809,62.4726,1.0517215728759766
