dataSet,num_nodes,num_edges,sputnik,cusparse,rode,gespmm,advisor,tcgnn,dtc
brack2,62632,366559,0.126118,0.092662,0.052598,0.0758,0.136,0.1642,0.2016544044017791
brainpc2,27608,96601,0.037837,0.034915,0.014397,0.0235,0.0337,0.0304,0.1214303970336914
bratu3d,27793,88627,0.03681,0.052141,0.014838,0.0232,0.0271,0.0481,0.1594239920377731
Bump_2911,2911420,65320659,13.146425,5.316874,3.016435,6.968,10.16,10000000.0,8.022649765014648
bundle1,10582,390741,0.036221,0.043206,0.027517,0.0377,0.0685,0.1069,0.0948960036039352
bundle_adj,513352,10360701,1.434886,0.739402,0.625053,1.0145,1.6846,10000000.0,1.1839487552642822
c-42,10472,60378,0.03487,0.029994,0.022557,0.021,0.0341,0.2019,0.1153087988495826
c-43,11126,67400,0.024179,0.029805,0.010966,0.0212,0.0284,0.0631,0.1148416027426719
c-45,13207,93829,0.026179,0.030538,0.012474,0.022,0.0289,0.0269,0.1147039979696273
c-46,14914,72655,0.029056,0.031776,0.012774,0.0217,0.0328,0.053,0.1146944016218185
c-47,15344,113372,0.038374,0.033856,0.022752,0.0224,0.0388,0.1608,0.120563194155693
c-48,18355,92217,0.044883,0.032525,0.02536,0.0226,0.043,0.2459,0.1257791966199875
c-49,21133,89087,0.059651,0.034054,0.029904,0.023,0.0492,0.4337,0.1253471970558166
c-50,22402,108013,0.058656,0.034406,0.031085,0.0232,0.0482,0.4286,0.1252287924289703
c-51,23197,113123,0.06287,0.035706,0.030557,0.0234,0.0492,0.4463,0.1343263983726501
c-52,23949,113332,0.06601,0.035437,0.028458,0.0236,0.0509,0.4944,0.1354272067546844
c-53,30236,201224,0.052586,0.044541,0.021456,0.0358,0.0579,0.1296,0.1329791992902755
c-54,31794,211743,0.082483,0.048285,0.035203,0.0382,0.0672,0.533,0.1328096091747284
c-55,32781,218115,0.116573,0.04969,0.040118,0.0402,0.0767,1.0181,0.1363967955112457
c-56,35911,208405,0.074992,0.054688,0.03775,0.0409,0.0733,0.4531,0.1438848078250885
c-57,37834,221515,0.066691,0.052998,0.027482,0.0434,0.0698,0.0774,0.1390655934810638
c-58,37596,295076,0.207664,0.057382,0.046115,0.0477,0.093,2.2641,0.1617984026670456
c-59,41283,260909,0.138022,0.062589,0.048944,0.0517,0.1055,1.1069,0.1637535989284515
c-60,43641,171109,0.107734,0.060928,0.048701,0.0506,0.0973,0.7325,0.1684736013412475
c-61,43619,176817,0.125747,0.071018,0.050714,0.0504,0.1001,0.9922,0.1679743975400924
c-62,41732,300537,0.213914,0.063107,0.052061,0.0523,0.104,2.2489,0.1698976010084152
c-62ghs,41732,300537,0.21273,0.062656,0.051296,0.0525,0.1053,2.2388,0.1720031946897506
c-63,44235,239469,0.146064,0.064749,0.051946,0.0549,0.1087,1.1967,0.1734687983989715
c-64,51036,384438,0.100842,0.073715,0.043344,0.0653,0.1174,0.1412,0.1824128031730651
c-64b,51036,384438,0.100515,0.073386,0.042864,0.0653,0.1168,0.1412,0.1865919977426529
c-65,48067,204297,0.151267,0.066822,0.054349,0.058,0.1117,1.203,0.1832031905651092
c-66,49990,274498,0.146931,0.068883,0.056662,0.061,0.1122,1.0606,0.1833503991365432
c-66b,49990,274498,0.145088,0.06961,0.057174,0.0615,0.1121,1.0606,0.1834015995264053
c-67b,57976,294955,0.11504,0.079155,0.048413,0.0697,0.1227,0.2036,0.1958688050508499
c-68,64811,315408,0.168493,0.090032,0.06415,0.0776,0.152,1.0091,0.2052671909332275
c-69,67459,345714,0.21864,0.096029,0.069882,0.0811,0.1575,1.7961,0.2101023942232132
c-70,68925,363955,0.22369,0.098986,0.071846,0.0833,0.1631,1.8497,0.2107104063034057
c-71,76639,468096,0.324835,0.112362,0.073066,0.0997,0.1928,3.443,0.2228192090988159
c-73,169423,724348,0.328906,0.216838,0.144064,0.1946,0.3204,0.248,0.4057024121284485
c-73b,169423,724348,0.330045,0.217264,0.14384,0.1941,0.3228,0.2483,0.4078879952430725
ca-AstroPh,18773,198110,0.041338,0.043808,0.020234,0.0275,0.0567,0.2825,0.156358391046524
ca-CondMat,23134,93497,0.035194,0.052378,0.016403,0.0208,0.0445,0.1274,0.1681952029466629
cage14,1505786,27130349,6.203942,3.705216,2.607382,4.2125,5.4234,10000000.0,7.181558132171631
caidaRouterLevel,192245,609066,0.348403,0.195392,0.128861,0.1847,0.3348,0.2903,0.5178943872451782
cant,62452,2034917,0.224589,0.178566,0.147062,0.2046,0.3337,10000000.0,0.2107647955417633
case39,40217,526139,0.070006,0.861802,0.042502,0.053,0.0991,0.0781,0.1022624000906944
case9,14455,75801,0.024378,0.252941,0.010131,0.0147,0.0249,0.0213,0.0945024043321609
c-big,345242,1343126,1.300547,0.422173,0.312611,0.4347,0.6763,10000000.0,0.8383392095565796
cbuckle,13682,345098,0.045878,0.043514,0.028122,0.0362,0.0665,0.1651,0.0803840011358261
ccc,49153,73728,0.078442,0.067517,0.035805,0.0595,0.0812,0.0548,0.252128005027771
cfd1,70657,949510,0.191005,0.11881,0.06975,0.1228,0.1919,0.2101,0.2201247960329055
Chebyshev4,68122,5377761,3.502454,0.554384,0.298275,0.6085,1.1561,10000000.0,0.5075455904006958
circuit_4,80210,307604,0.414589,0.109008,0.077658,0.0916,0.1752,4.0709,0.2208991944789886
circuit5M_dc,3523318,19194193,8.123549,5.213008,3.740173,5.3808,7.483,10000000.0,8.609881401062012
citationCiteseer,268496,1156647,0.52999,0.316528,0.21887,0.2914,0.5083,10000000.0,0.7442880272865295
cit-Patents,3774769,16518948,8.443738,6.142208,4.463309,5.8584,7.5395,10000000.0,7.801724910736084
ckt11752_dc_1,49703,333029,0.195466,0.077082,0.058733,0.0746,0.116,1.3135,0.175161600112915
ckt11752_tr_0,49703,333029,0.194067,0.076147,0.058355,0.0737,0.1161,1.3113,0.1721504032611847
cnr-2000,325558,3216152,0.702512,0.441283,0.345498,0.4235,0.7278,10000000.0,0.7654079794883728
CO,221120,3943588,0.634752,0.378762,0.229309,0.4812,0.6831,10000000.0,0.8817791938781738
coAuthorsCiteseer,227321,814134,0.41839,0.223408,0.151635,0.2152,0.397,0.2317,0.5205568075180054
coAuthorsDBLP,299068,977676,0.561878,0.286573,0.199702,0.2834,0.5133,0.3257,0.8211232423782349
cond-mat-2003,31164,120029,0.048298,0.039325,0.01881,0.0267,0.0462,0.0535,0.1240576058626174
cond-mat-2005,40422,175693,0.066707,0.051126,0.026349,0.0296,0.0615,0.0742,0.1378272026777267
conf5_4-8x8-05,49153,1916928,0.160685,0.164259,0.153981,0.1964,0.3225,10000000.0,0.1973471939563751
conf5_4-8x8-10,49153,1916928,0.161619,0.164998,0.15431,0.1964,0.3218,10000000.0,0.1975103914737701
conf5_4-8x8-15,49153,1916928,0.160768,0.164374,0.154461,0.1964,0.322,10000000.0,0.1951840072870254
conf5_4-8x8-20,49153,1916928,0.16079,0.164586,0.154403,0.196,0.3221,10000000.0,0.1990143954753875
conf6_0-8x8-20,49153,1916928,0.161216,0.16369,0.153843,0.1969,0.3225,10000000.0,0.1939232051372528
conf6_0-8x8-30,49153,1916928,0.162544,0.164595,0.154864,0.1966,0.3223,10000000.0,0.1964928060770034
conf6_0-8x8-80,49153,1916928,0.161597,0.163917,0.15439,0.1964,0.3227,10000000.0,0.1962784081697464
consph,83335,3046907,0.290518,0.25359,0.23543,0.2975,0.5118,10000000.0,0.3508928120136261
cont-201,80596,239596,0.14576,0.089942,0.053322,0.0804,0.136,0.1013,0.2139327973127365
cont-300,180896,539396,0.33824,0.18767,0.126147,0.1755,0.3085,0.2189,0.4137631952762604
coPapersCiteseer,434103,16036720,1.942141,1.207917,1.056787,1.6446,2.795,10000000.0,1.301091194152832
coPapersDBLP,540487,15245729,2.358486,1.358883,1.109904,1.6921,2.8385,10000000.0,1.599609613418579
copter1,17223,114143,0.031389,0.032022,0.014285,0.0169,0.0314,0.0465,0.0975392013788223
CoupCons3D,416801,22322336,1.800858,1.682096,1.509808,2.1411,3.3835,10000000.0,1.8328993320465088
crankseg_1,52805,5333507,0.419696,0.40391,0.273562,0.4973,0.7945,10000000.0,0.3234496116638183
crankseg_2,63839,7106348,0.565626,0.52959,0.359523,0.6605,1.0528,10000000.0,0.4409984052181244
crplat2,18011,489478,0.056835,0.052694,0.024851,0.0488,0.0833,0.0607,0.1034368053078651
crystk02,13966,491274,0.048144,0.050915,0.028134,0.0481,0.0879,0.0662,0.097308799624443
crystk03,24697,887937,0.082432,0.081117,0.051728,0.0807,0.1472,0.115,0.106598399579525
crystm02,13966,168435,0.031642,0.036032,0.014646,0.0246,0.037,0.053,0.0971935987472534
crystm03,24697,304233,0.050621,0.049328,0.02263,0.0384,0.0587,0.0893,0.1092095971107482
ct2010,67579,168176,0.117139,0.084006,0.052723,0.0603,0.1093,0.1021,0.2407424002885818
ct20stif,52330,1375396,0.178845,0.124934,0.088979,0.1429,0.2442,10000000.0,0.1860703974962234
Cube_Coup_dt0,2164761,64685452,10.917139,4.661693,4.457411,6.934,9.9372,10000000.0,6.389926433563232
Cube_Coup_dt6,2164761,64685452,10.913619,4.67232,4.45497,6.9383,9.9363,10000000.0,6.412995338439941
CurlCurl_0,11084,62213,0.023088,0.028413,0.011056,0.0136,0.0215,0.0229,0.0902719944715499
CurlCurl_4,2380516,14448191,6.105014,2.52768,1.822182,2.7767,4.6706,10000000.0,5.184479713439941
cvxqp3,17501,69981,0.027322,0.030851,0.011802,0.0182,0.0264,0.0409,0.1036448031663894
cyl6,13682,363961,0.048166,0.044419,0.030662,0.0394,0.0691,0.1925,0.080518402159214
darcy003,389875,1167685,0.746954,0.491398,0.339638,0.4939,0.7492,10000000.0,0.9220319986343384
dawson5,51538,531157,0.126176,0.090426,0.050394,0.094,0.1298,0.1213,0.1937855929136276
dblp-2010,326187,807700,0.582243,0.28505,0.210438,0.2675,0.4517,0.3816,0.7595840096473694
dc3,116836,766396,5.693821,0.188253,0.113942,0.1818,0.3475,1960.9834,0.3178656101226806
de2010,24116,58028,0.033261,0.04224,0.015379,0.0208,0.0391,0.0471,0.142095997929573
debr,1048577,2097149,1.852122,1.08079,0.798653,1.2141,1.8445,10000000.0,2.236931324005127
delaunay_n15,32769,98274,0.050435,0.053814,0.017475,0.023,0.0385,0.0409,0.1836096048355102
delaunay_n16,65537,196575,0.111587,0.098262,0.048784,0.0622,0.1089,0.0759,0.2495487928390503
delaunay_n17,131073,393176,0.241677,0.154986,0.094902,0.1238,0.2095,0.1395,0.3525055944919586
delaunay_n18,262145,786396,0.505741,0.255725,0.186595,0.247,0.4101,0.2687,0.5823615789413452
delaunay_n19,524289,1572823,1.021971,0.508006,0.366253,0.506,0.8106,10000000.0,1.1546976566314695
delaunay_n20,1048577,3145686,2.055078,0.967088,0.725536,1.0237,1.6074,10000000.0,2.2348127365112305
delaunay_n21,2097153,6291408,4.087162,1.950966,1.443734,2.0718,3.2069,10000000.0,4.31937313079834
delaunay_n22,4194305,12582869,8.16266,3.857904,2.874538,4.165,6.3886,10000000.0,8.560883522033691
denormal,89401,622812,0.181014,0.117395,0.069904,0.1111,0.1811,0.1606,0.2288863956928253
dictionary28,52653,89038,0.070922,0.058515,0.027117,0.0272,0.0433,0.0718,0.198211207985878
dielFilterV2clx,607233,12958252,3.302397,1.065472,0.881072,1.4602,2.2216,10000000.0,1.9744192361831665
dielFilterV2real,1157457,24848204,6.750563,2.426691,1.690755,2.8011,4.2531,10000000.0,3.759875059127808
dielFilterV3clx,420409,16653308,3.127795,1.248208,1.228387,1.6739,2.6353,10000000.0,1.6700128316879272
Dubcova1,16130,134569,0.030288,0.033565,0.013014,0.0226,0.0325,0.044,0.115504004061222
Dubcova3,146690,1891669,0.432486,0.237248,0.151133,0.2433,0.4154,10000000.0,0.371948778629303
e40r0100,17282,553562,0.05561,0.132262,0.034118,0.0553,0.101,0.1283,0.0971360057592392
EAT_RS,23220,325592,0.071248,0.051725,0.03871,0.0419,0.0869,0.4167,0.1219583973288536
ecology1,1000001,2998000,1.734537,0.984358,0.672618,1.0829,1.6131,10000000.0,2.218902349472046
ecology2,1000000,2997995,1.734202,0.981597,0.672944,1.0842,1.6116,10000000.0,2.2366433143615723
email-Enron,36693,183831,0.128198,0.070278,0.047811,0.0676,0.1062,1.2756,0.1896384060382843
Emilia_923,923137,20964171,4.778282,1.611526,1.107779,2.2596,3.3429,10000000.0,2.684844732284546
engine,143572,2424822,0.428739,0.289382,0.194352,0.3179,0.5153,10000000.0,0.4815743863582611
enron,69245,276143,0.147862,0.093082,0.061056,0.0656,0.0837,0.8678,0.2727679908275604
eu-2005,862665,19235140,2.585802,1.688208,1.38281,2.0716,3.3226,10000000.0,2.376559972763061
ex11,16615,1096948,0.079005,0.092147,0.055037,0.1016,0.1746,10000000.0,0.103171207010746
ex19,12006,259879,0.036995,0.039523,0.020694,0.0332,0.0543,0.0601,0.0895328000187873
F1,343792,13590452,2.013686,1.117907,1.088278,1.4633,2.3538,10000000.0,1.366579294204712
F2,71506,2682895,0.28649,0.238154,0.19055,0.2774,0.4482,10000000.0,0.3277760148048401
Fault_639,638803,14626683,3.328262,1.127683,0.778954,1.5467,2.3373,10000000.0,1.833478331565857
fcondp2,201823,5748069,0.850595,0.446349,0.404666,0.5811,0.9577,10000000.0,0.5789791941642761
fem_hifreq_circuit,491101,20239237,2.120784,1.641721,1.652394,2.3025,3.1934,10000000.0,2.490422487258911
filter3D,106438,1406808,0.31,0.174211,0.100006,0.1878,0.2937,10000000.0,0.3870080113410949
finance256,37377,167936,0.063565,0.051923,0.025997,0.0285,0.0667,0.0734,0.1211071982979774
Flan_1565,1564795,59485419,6.831776,4.27634,4.469814,5.7197,9.4021,10000000.0,4.883763313293457
flickr,820879,9837214,2.045219,1.453286,1.213325,1.5477,2.4329,10000000.0,3.2164578437805176
foldoc,13357,120238,0.027603,0.030154,0.014234,0.022,0.0402,0.1062,0.0923167988657951
Freescale1,3428756,18920347,7.888051,5.700727,4.284627,5.7906,8.0601,10000000.0,8.912389755249023
fullb,199188,5953632,0.806198,0.476038,0.415757,0.6217,1.0201,10000000.0,0.5784095525741577
fxm4_6,18893,258368,0.043507,0.040067,0.020016,0.0329,0.0629,0.1063,0.0941600054502487
G2_circuit,150103,438388,0.27377,0.177459,0.109094,0.1658,0.2551,0.189,0.3594560027122497
G3_circuit,1585479,4623152,2.840467,1.661962,1.157005,1.7792,2.6798,10000000.0,3.4540798664093018
Ga10As10H30,113082,3114357,0.364816,0.27841,0.157632,0.3552,0.5197,10000000.0,0.5076128244400024
Ga19As19H42,133124,4508981,0.472582,0.37783,0.222445,0.4944,0.7318,10000000.0,0.6379743814468384
Ga3As3H12,61350,3016148,0.252576,0.229718,0.145798,0.3044,0.4848,10000000.0,0.3323808014392853
Ga41As41H72,268097,9378286,1.01303,0.750173,0.463514,1.0156,1.5049,10000000.0,1.2642016410827637
GaAsH6,61350,1721579,0.202678,0.154262,0.091248,0.1956,0.2958,10000000.0,0.3066655993461609
gas_sensor,66918,885141,0.171846,0.111744,0.061539,0.1168,0.1775,0.2128,0.2096352130174636
Ge87H76,112986,4002590,0.4256,0.338058,0.209104,0.4351,0.649,10000000.0,0.5869472026824951
Ge99H100,112986,4282190,0.445693,0.356512,0.222787,0.457,0.6882,10000000.0,0.6000863909721375
gearbox,153747,4617075,0.571757,0.366368,0.306435,0.4807,0.7646,10000000.0,0.4903840124607086
Geo_1438,1437961,32297325,7.623332,2.56063,1.659578,3.5051,5.1749,10000000.0,4.068201541900635
gridgena,48963,280523,0.091773,0.071594,0.038112,0.0585,0.0991,0.072,0.1755423992872238
gsm_106857,589447,11174185,2.830336,2.161728,1.730909,2.1318,2.7488,10000000.0,3.213164806365967
gupta1,31803,1098006,0.097018,0.23103,0.061958,0.0968,0.1741,10000000.0,0.1369824111461639
gupta2,62065,2155175,0.203811,0.151024,0.141651,0.2003,0.3379,10000000.0,0.2147007882595062
gupta3,16784,4670105,0.751629,0.373056,0.313859,0.4577,0.8282,10000000.0,0.163491204380989
gyro,17362,519260,0.058397,0.053491,0.028109,0.0523,0.0947,0.0894,0.097120001912117
gyro_k,17362,519260,0.057702,0.053923,0.02815,0.0524,0.0939,0.0892,0.0979488044977188
gyro_m,17362,178896,0.035299,0.037152,0.016733,0.0262,0.0448,0.0706,0.0952351987361908
H2O,67025,1141880,0.18079,0.1272,0.073235,0.1433,0.2116,10000000.0,0.3128224015235901
halfb,224618,6306219,0.911795,0.498858,0.419062,0.6561,1.0656,10000000.0,0.6235007643699646
Hamrle3,1447361,5514242,2.891283,1.749034,1.339558,1.9055,2.883,10000000.0,3.260035276412964
hangGlider_4,15562,79088,0.177728,0.032515,0.031968,0.0216,0.038,3.2409,0.1143871992826461
hangGlider_5,16012,82070,0.181638,0.030672,0.032173,0.0219,0.0483,3.3613,0.114236794412136
helm2d03,392258,1567096,0.84049,0.415629,0.308643,0.4434,0.7252,10000000.0,0.9211519956588744
helm3d01,32227,230335,0.056358,0.046784,0.022099,0.034,0.0577,0.0867,0.1389984041452407
hi2010,25017,62063,0.033795,0.038477,0.014704,0.0207,0.038,0.0484,0.1609087884426117
hollywood-2009,1139906,57515616,8.895136,4.776444,4.298739,6.6412,9.9992,10000000.0,7.590745449066162
hood,220543,5494489,0.842294,0.44584,0.416211,0.6083,0.9933,10000000.0,0.6039680242538452
Hook_1498,1498024,31207734,8.362342,2.475504,1.803981,3.4398,5.2493,10000000.0,4.00869083404541
HTC_336_4438,226341,565431,0.431533,0.27752,0.197901,0.258,0.4176,0.3647,0.5438240170478821
HTC_336_9129,226341,554881,0.430061,0.273222,0.197437,0.2584,0.417,0.3639,0.5463327765464783
human_gene1,22284,12345963,0.84311,0.881946,0.752659,1.1773,1.9041,10000000.0,1.123193621635437
human_gene2,14341,9041364,0.614902,0.633779,0.526518,0.8382,1.3809,10000000.0,0.687171220779419
ibm_matrix_2,51449,1056610,0.311043,0.112122,0.068448,0.126,0.2067,10000000.0,0.1819391995668411
igbt3,10939,234006,0.032922,0.035987,0.019482,0.0335,0.0476,0.1053,0.0921408012509346
in-2004,1382909,16917053,3.213094,1.612982,1.404768,2.0835,3.4749,10000000.0,2.9291329383850098
inlet,11731,328323,0.037622,0.041213,0.022954,0.0343,0.0621,0.0465,0.0900095999240875
inline_1,503713,18660027,3.342858,1.395987,1.310925,1.8844,3.0554,10000000.0,1.670403242111206
jan99jac120sc,41375,260202,0.073702,0.066698,0.034208,0.0475,0.1,0.1027,0.138806402683258
juba40k,40338,144945,0.069216,0.055142,0.030435,0.0376,0.08,0.0798,0.1613824069499969
k3plates,11108,378927,0.038608,0.047658,0.023709,0.0409,0.0748,0.0532,0.091142401099205
kim1,38416,933195,0.115568,0.102074,0.052525,0.1015,0.1515,0.1414,0.1517983973026275
kkt_power,2063495,8130343,4.384585,2.367971,1.733661,2.5917,3.9136,10000000.0,5.071139335632324
kron_g500-logn16,65537,2456398,0.624973,0.206253,0.18144,0.2576,0.4615,10000000.0,0.5533728003501892
kron_g500-logn17,131073,5114375,1.638797,0.438083,0.385578,0.5441,0.9671,10000000.0,1.1635775566101074
kron_g500-logn18,262145,10583222,2.244538,0.886867,0.816435,1.1401,2.0133,10000000.0,2.443270444869995
kron_g500-logn19,524289,21781478,4.794394,1.941594,1.738893,2.4983,4.3258,10000000.0,5.2451677322387695
kron_g500-logn20,1048577,44620272,7.410793,4.687709,3.825712,5.7794,9.4832,10000000.0,11.261839866638184
laminar_duct3D,67174,3833077,0.281642,0.331731,0.207613,0.3715,0.5778,10000000.0,0.3645567893981933
language,399131,1216334,1.07321,0.489789,0.345904,0.4661,0.7476,10000000.0,0.9640928506851196
largebasis,440021,5560100,1.170214,0.782394,0.576826,0.8508,1.3155,10000000.0,1.1900928020477295
ldoor,952204,23737339,5.538397,1.81217,1.840778,2.6694,4.3138,10000000.0,2.4594175815582275
