dataSet,rows_,nonzeros_,sputnik,cusparse,rode
144,144650,1074393,0.966045,0.657546,0.346109
2D_27628_bjtcai,27629,442898,0.122458,0.099686,0.048784
2D_54019_highK,54020,996414,0.293949,0.191446,0.105005
333SP,3712816,11108633,17.869078,13.866144,9.566371
3D_28984_Tetra,28985,599170,0.263501,0.123648,0.063904
3D_51448_3D,51449,1056610,0.443059,0.200214,0.105885
3Dspectralwave,680944,17165766,8.19144,5.393472,4.930845
3Dspectralwave2,292009,7307376,3.171798,2.230138,1.875306
3dtube,45331,1629474,0.439363,0.466915,0.359898
598a,110972,741934,0.64416,0.554605,0.279328
a0nsdsil,80017,200021,0.52065,0.239107,0.147565
a2nnsnsl,80017,196115,0.519693,0.238109,0.14687
a5esindl,60009,145004,0.641392,0.171763,0.099206
adaptive,6815745,13624320,24.50787,18.022196,12.650781
af_0_k101,503626,9027150,2.72496,2.378445,3.118842
af_1_k101,503626,9027150,2.733034,2.377578,3.157619
af_2_k101,503626,9027150,2.724605,2.377242,3.113334
af_3_k101,503626,9027150,2.724368,2.37775,3.128051
af_4_k101,503626,9027150,2.72495,2.377408,3.116448
af_5_k101,503626,9027150,2.725098,2.377017,3.115062
af_shell1,504856,9046865,2.732182,2.401222,3.039619
af_shell10,1508066,27090195,8.071379,7.409763,9.209629
af_shell2,504856,9046865,2.733059,2.401802,3.05975
af_shell3,504856,9046865,2.734144,2.402663,3.050832
af_shell4,504856,9046865,2.730937,2.400237,3.066381
af_shell5,504856,9046865,2.731706,2.399584,3.062634
af_shell6,504856,9046865,2.73209,2.403133,3.048013
af_shell7,504856,9046865,2.731955,2.401232,3.070122
af_shell8,504856,9046865,2.732234,2.402125,3.072634
af_shell9,504856,9046865,2.732,2.401718,3.041034
ak2010,45293,108549,0.15159,0.115792,0.069251
amazon0505,410236,4878874,1.978198,1.391942,0.906621
Andrews,60001,410077,0.310342,0.244442,0.144086
AS365,3799276,11368076,19.725872,15.602972,11.868727
as-caida,31380,106762,0.210394,0.075347,0.058339
as-Skitter,1696416,11095298,11.648566,7.170663,6.317168
astro-ph,16707,121251,0.068288,0.065933,0.034912
auto,448696,3314611,3.684781,2.641917,1.580886
barrier2-1,113077,3805068,1.021386,0.68112,0.619894
barrier2-10,115626,3897557,1.126749,0.698134,0.63848
barrier2-11,115626,3897557,1.123718,0.696787,0.638147
barrier2-12,115626,3897557,1.124394,0.695376,0.638362
barrier2-2,113077,3805068,1.022755,0.682643,0.620038
barrier2-3,113077,3805068,1.020726,0.681008,0.619894
barrier2-4,113077,3805068,1.02281,0.682538,0.620339
barrier2-9,115626,3897557,1.125059,0.697571,0.63881
bauru5727,40367,145019,0.129034,0.095616,0.058006
bbmat,38745,1771722,0.309222,0.270384,0.169709
bcsstk17,10975,219812,0.064186,0.07569,0.045744
bcsstk18,11949,80519,0.046634,0.047904,0.02383
bcsstk25,15440,133840,0.068749,0.062605,0.033018
bcsstk29,13993,316740,0.095034,0.102211,0.065165
bcsstk30,28925,1036208,0.264813,0.295488,0.228307
bcsstk31,35589,608502,0.223952,0.194454,0.131469
bcsstk32,44610,1029655,0.324224,0.302915,0.252611
bcsstk35,30238,740200,0.211638,0.229574,0.171107
bcsstk36,23053,583096,0.155219,0.176893,0.131898
bcsstk37,25504,583240,0.16799,0.176768,0.131408
bcsstk39,46773,1068033,0.311904,0.305811,0.29177
bcsstm36,23053,166389,0.088461,0.073027,0.041885
belgium_osm,1441296,1549970,5.157613,2.905879,2.065498
BenElechi1,245875,6698185,1.834816,1.804502,1.630374
