dataSet,num_nodes,num_edges,fs_fp16,fs_tf32
GitHub,37700,615706,1.5638,1.3479
artist,50515,1638396,1.6073,1.4654
blog,88784,4186390,2.3309,2.6549
ell,203769,672479,2.9826,3.2455
amazon,403394,9068096,7.5739,9.8089
amazon0505,410236,4878874,6.6522,8.5988
dd,334925,1686092,4.6168,5.4921
yelp,716847,13954819,15.8658,18.86
comamazon,334863,1851744,5.1567,6.2048
IGB_small,1000000,13068130,21.6632,24.5303
