dataSet,num_nodes,num_edges,dgl,tcgnn,pyg
GitHub,37700,615706,1.4703,11.2174,2.904
artist,50515,1638396,1.8009,3.0618,6.2413
blog,88784,4186390,2.5402,100000000,14.498
ell,203769,672479,4.096,3.904,5.8461
amazon,403394,9068096,9.9458,303.1217,37.2703
amazon0505,410236,4878874,9.5618,12.3316,24.7514
dd,334925,1686092,6.7872,6.8567,12.3095
yelp,716847,13954819,18.9698,32.5272,100000000
comamazon,334863,1851744,7.2737,7.6716,13.3673
IGB_small,1000000,13068130,26.0809,30.0611,63.9677
