dataSet,num_nodes,num_edges,fs_fp16,fs_tf32
GitHub,37700,615706,1.0574,1.0554
artist,50515,1638396,1.281,1.6724
blog,88784,4186390,2.2516,3.0852
ell,203769,672479,3.5408,4.5163
amazon,403394,9068096,8.3818,12.6444
amazon0505,410236,4878874,7.713,11.7723
dd,334925,1686092,5.7024,7.9784
yelp,716847,13954819,17.6483,25.2645
comamazon,334863,1851744,6.0618,8.7144
IGB_small,1000000,13068130,24.9019,34.1296
